"""Meter Reading (MR) Doc. No.""",HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,SM_FORENAME,SM_SURNAME,SM_STREET,SM_STREETNO,SM_POST_CODE1,SM_CITY1,SM_CITY2,SM_EMAIL
Meter Reading (MR) Doc. No.,mOceNGihTSIda+JcXRndcJVtQYzQwNynesiSQaP,sRrEEaUCILlxHHkOx+UITTmWcIhQZ/RwgSKtRQk,tC++/MIcRbJPdYWAVBdeefug+F+OhiWvTDcfiSX,kCyqUtyoEVODXQgitJSSKEfWMGQfShqZyzahaQt,7,MANDATORY_READING,Herr,Julia,Schulz,Kirchweg,50,58840,Plettenberg,Bremcke,julia.schulz@example.com
Meter Reading (MR) Doc. No.,sIGyRU/srASUciTlDViUpkbIF+tYfgVRVjZMc/K,ASSZvRlmgQGMUVXEhQVGEqkBIzWVgvVVTZpPGsb,GHrTRUovvUrbHaeUNUJMZRZWHSjOAthGDKUQZiS,LKiETqpfEnYRGlAFtRHFuqQvZTkOxfAWnHlfdKy,14,MANDATORY_READING,Dipl.-Ing.,Klaus,Hoffmann,Gartenstraße,1,58540,Meinerzhagen,Meinerzhagen,klaus.hoffmann@example.com
Meter Reading (MR) Doc. No.,sIGyRU/srASUciTlDViUpkbIF+tYfgVRVjZMc/K,ASSZvRlmgQGMUVXEhQVGEqkBIzWVgvVVTZpPGsb,GHrTRUovvUrbHaeUNUJMZRZWHSjOAthGDKUQZiS,LKiETqpfEnYRGlAFtRHFuqQvZTkOxfAWnHlfdKy,14,MANDATORY_READING,Dipl.-Ing.,Klaus,Hoffmann,Gartenstraße,1,58540,Meinerzhagen,Meinerzhagen,klaus.hoffmann@example.com
Meter Reading (MR) Doc. No.,sIGyRU/srASUciTlDViUpkbIF+tYfgVRVjZMc/K,ASSZvRlmgQGMUVXEhQVGEqkBIzWVgvVVTZpPGsb,GHrTRUovvUrbHaeUNUJMZRZWHSjOAthGDKUQZiS,LKiETqpfEnYRGlAFtRHFuqQvZTkOxfAWnHlfdKy,14,MANDATORY_READING,Dipl.-Ing.,Klaus,Hoffmann,Gartenstraße,1,58540,Meinerzhagen,Meinerzhagen,klaus.hoffmann@example.com
Meter Reading (MR) Doc. No.,mOceNGihTSIda+JcXRndcJVtQYzQwNynesiSQaP,LNtZLOgtWQLlwFqyDcynrwUfWQWQzqZiXWEwRnU,OQzmYsxCPtlERz+wl/nEfvaVTOWmeKrsjApdlDK,iXXUXMQBWKVeHxoqEcJan/Sa/VeSEgopOetMCuY,7,MANDATORY_READING,Frau,Anna,Weber,Dorfstraße,1a,58840,Plettenberg,Bremcke,anna.weber@example.com
Meter Reading (MR) Doc. No.,mOceNGihTSIda+JcXRndcJVtQYzQwNynesiSQaP,LNtZLOgtWQLlwFqyDcynrwUfWQWQzqZiXWEwRnU,OQzmYsxCPtlERz+wl/nEfvaVTOWmeKrsjApdlDK,iXXUXMQBWKVeHxoqEcJan/Sa/VeSEgopOetMCuY,7,MANDATORY_READING,Frau,Anna,Weber,Dorfstraße,1a,58840,Plettenberg,Bremcke,anna.weber@example.com
Meter Reading (MR) Doc. No.,mOceNGihTSIda+JcXRndcJVtQYzQwNynesiSQaP,LNtZLOgtWQLlwFqyDcynrwUfWQWQzqZiXWEwRnU,OQzmYsxCPtlERz+wl/nEfvaVTOWmeKrsjApdlDK,iXXUXMQBWKVeHxoqEcJan/Sa/VeSEgopOetMCuY,7,MANDATORY_READING,Frau,Anna,Weber,Dorfstraße,1a,58840,Plettenberg,Bremcke,anna.weber@example.com
Meter Reading (MR) Doc. No.,igwpOoITSvy+XeZyWeJBQWfXHZApXXk+MhMCLjQ,xVUCoHvODEFYkLRMNTeRhoEBTQSDjRCUwiKAWyW,oUMUYMWfQhYwMETTOJ/WNksQMtQUDxMjZkKdxrB,/AawVCTiwCBsHyFZTHzKXxb+F/EHoZOcT/+TcRB,8,MANDATORY_READING,Prof.,Maria,Fischer,Waldweg,30,58097,Hagen,Altenhagen,maria.fischer@example.com
Meter Reading (MR) Doc. No.,igwpOoITSvy+XeZyWeJBQWfXHZApXXk+MhMCLjQ,xVUCoHvODEFYkLRMNTeRhoEBTQSDjRCUwiKAWyW,oUMUYMWfQhYwMETTOJ/WNksQMtQUDxMjZkKdxrB,/AawVCTiwCBsHyFZTHzKXxb+F/EHoZOcT/+TcRB,8,MANDATORY_READING,Prof.,Maria,Fischer,Waldweg,30,58097,Hagen,Altenhagen,maria.fischer@example.com
Meter Reading (MR) Doc. No.,igwpOoITSvy+XeZyWeJBQWfXHZApXXk+MhMCLjQ,xVUCoHvODEFYkLRMNTeRhoEBTQSDjRCUwiKAWyW,oUMUYMWfQhYwMETTOJ/WNksQMtQUDxMjZkKdxrB,/AawVCTiwCBsHyFZTHzKXxb+F/EHoZOcT/+TcRB,8,MANDATORY_READING,Prof.,Maria,Fischer,Waldweg,30,58097,Hagen,Altenhagen,maria.fischer@example.com
Meter Reading (MR) Doc. No.,igwpOoITSvy+XeZyWeJBQWfXHZApXXk+MhMCLjQ,xVUCoHvODEFYkLRMNTeRhoEBTQSDjRCUwiKAWyW,oUMUYMWfQhYwMETTOJ/WNksQMtQUDxMjZkKdxrB,/AawVCTiwCBsHyFZTHzKXxb+F/EHoZOcT/+TcRB,8,MANDATORY_READING,Prof.,Maria,Fischer,Waldweg,30,58097,Hagen,Altenhagen,maria.fischer@example.com
Meter Reading (MR) Doc. No.,YpSUBlGQIBUVZTCnTQakXmJaN/prCIdiWtkWzeS,rSAjjYxhkYeKKZhckuYagZfwUhE+cNiXAQmhWBE,FZSZofRSheddBxWUxEKjXLGvRYMjWQuVEMvbNmQ,zUQKXmskDEbVLktp+NOUDSyoKbSeojukGxWSRap,54,MANDATORY_READING,Frau,Sabine,Meyer,Marktplatz,3b,58507,Lüdenscheid,,sabine.meyer@example.com
Meter Reading (MR) Doc. No.,YpSUBlGQIBUVZTCnTQakXmJaN/prCIdiWtkWzeS,rSAjjYxhkYeKKZhckuYagZfwUhE+cNiXAQmhWBE,FZSZofRSheddBxWUxEKjXLGvRYMjWQuVEMvbNmQ,zUQKXmskDEbVLktp+NOUDSyoKbSeojukGxWSRap,54,MANDATORY_READING,Frau,Sabine,Meyer,Marktplatz,3b,58507,Lüdenscheid,,sabine.meyer@example.com
Meter Reading (MR) Doc. No.,YpSUBlGQIBUVZTCnTQakXmJaN/prCIdiWtkWzeS,rSAjjYxhkYeKKZhckuYagZfwUhE+cNiXAQmhWBE,FZSZofRSheddBxWUxEKjXLGvRYMjWQuVEMvbNmQ,zUQKXmskDEbVLktp+NOUDSyoKbSeojukGxWSRap,54,MANDATORY_READING,Frau,Sabine,Meyer,Marktplatz,3b,58507,Lüdenscheid,,sabine.meyer@example.com
Meter Reading (MR) Doc. No.,YpSUBlGQIBUVZTCnTQakXmJaN/prCIdiWtkWzeS,rSAjjYxhkYeKKZhckuYagZfwUhE+cNiXAQmhWBE,FZSZofRSheddBxWUxEKjXLGvRYMjWQuVEMvbNmQ,zUQKXmskDEbVLktp+NOUDSyoKbSeojukGxWSRap,54,MANDATORY_READING,Frau,Sabine,Meyer,Marktplatz,3b,58507,Lüdenscheid,,sabine.meyer@example.com
Meter Reading (MR) Doc. No.,YpSUBlGQIBUVZTCnTQakXmJaN/prCIdiWtkWzeS,rSAjjYxhkYeKKZhckuYagZfwUhE+cNiXAQmhWBE,FZSZofRSheddBxWUxEKjXLGvRYMjWQuVEMvbNmQ,zUQKXmskDEbVLktp+NOUDSyoKbSeojukGxWSRap,54,MANDATORY_READING,Frau,Sabine,Meyer,Marktplatz,3b,58507,Lüdenscheid,,sabine.meyer@example.com
Meter Reading (MR) Doc. No.,YpSUBlGQIBUVZTCnTQakXmJaN/prCIdiWtkWzeS,rSAjjYxhkYeKKZhckuYagZfwUhE+cNiXAQmhWBE,FZSZofRSheddBxWUxEKjXLGvRYMjWQuVEMvbNmQ,zUQKXmskDEbVLktp+NOUDSyoKbSeojukGxWSRap,54,MANDATORY_READING,Frau,Sabine,Meyer,Marktplatz,3b,58507,Lüdenscheid,,sabine.meyer@example.com
Meter Reading (MR) Doc. No.,YpSUBlGQIBUVZTCnTQakXmJaN/prCIdiWtkWzeS,rSAjjYxhkYeKKZhckuYagZfwUhE+cNiXAQmhWBE,FZSZofRSheddBxWUxEKjXLGvRYMjWQuVEMvbNmQ,zUQKXmskDEbVLktp+NOUDSyoKbSeojukGxWSRap,54,MANDATORY_READING,Frau,Sabine,Meyer,Marktplatz,3b,58507,Lüdenscheid,,sabine.meyer@example.com
Meter Reading (MR) Doc. No.,YpSUBlGQIBUVZTCnTQakXmJaN/prCIdiWtkWzeS,rSAjjYxhkYeKKZhckuYagZfwUhE+cNiXAQmhWBE,FZSZofRSheddBxWUxEKjXLGvRYMjWQuVEMvbNmQ,zUQKXmskDEbVLktp+NOUDSyoKbSeojukGxWSRap,54,MANDATORY_READING,Frau,Sabine,Meyer,Marktplatz,3b,58507,Lüdenscheid,,sabine.meyer@example.com
Meter Reading (MR) Doc. No.,ZwSSGjsTj/jnvpLUUjsftTuTVWcClKyYTGR/Vny,QoIJYIjUZZWVWVR/HbAeIkYGMWbWpcGoMdxjhHX,baHvUWgQusWEUYPUZFNcIYTqwpSWBLoZWGPMlcl,WHhQJUtZZNwwuceDdrGKXdBanmVDHTXgXDYohuA,3,MANDATORY_READING,Dipl.-Ing.,Sabine,Fischer,Dorfstraße,50,58553,Halver,Buschhausen,sabine.fischer@example.com
Meter Reading (MR) Doc. No.,ZwSSGjsTj/jnvpLUUjsftTuTVWcClKyYTGR/Vny,QoIJYIjUZZWVWVR/HbAeIkYGMWbWpcGoMdxjhHX,baHvUWgQusWEUYPUZFNcIYTqwpSWBLoZWGPMlcl,WHhQJUtZZNwwuceDdrGKXdBanmVDHTXgXDYohuA,3,MANDATORY_READING,Dipl.-Ing.,Sabine,Fischer,Dorfstraße,50,58553,Halver,Buschhausen,sabine.fischer@example.com
Meter Reading (MR) Doc. No.,ZwSSGjsTj/jnvpLUUjsftTuTVWcClKyYTGR/Vny,QoIJYIjUZZWVWVR/HbAeIkYGMWbWpcGoMdxjhHX,baHvUWgQusWEUYPUZFNcIYTqwpSWBLoZWGPMlcl,WHhQJUtZZNwwuceDdrGKXdBanmVDHTXgXDYohuA,3,MANDATORY_READING,Dipl.-Ing.,Sabine,Fischer,Dorfstraße,50,58553,Halver,Buschhausen,sabine.fischer@example.com
Meter Reading (MR) Doc. No.,ZwSSGjsTj/jnvpLUUjsftTuTVWcClKyYTGR/Vny,QoIJYIjUZZWVWVR/HbAeIkYGMWbWpcGoMdxjhHX,baHvUWgQusWEUYPUZFNcIYTqwpSWBLoZWGPMlcl,WHhQJUtZZNwwuceDdrGKXdBanmVDHTXgXDYohuA,3,MANDATORY_READING,Dipl.-Ing.,Sabine,Fischer,Dorfstraße,50,58553,Halver,Buschhausen,sabine.fischer@example.com
Meter Reading (MR) Doc. No.,QedQlmrTYWqEvyxiNyEgrTlUxTgQWVKhXmePAaL,fHwvOWAQyJphIBaZfXmsPTg+OSSTQgXbMgpEZJi,cIdbD+bdqZZAwEfpdkdmDSNNXGQJNqxQHhbV/LF,NsRQWTDdyQEMYBfYNfIVCtFTjlrEXaIwUefpZWg,21,MANDATORY_READING,Dipl.-Ing.,Anna,Müller,Dorfstraße,15,58553,Halver,Buschhausen,anna.müller@example.com
Meter Reading (MR) Doc. No.,QedQlmrTYWqEvyxiNyEgrTlUxTgQWVKhXmePAaL,fHwvOWAQyJphIBaZfXmsPTg+OSSTQgXbMgpEZJi,cIdbD+bdqZZAwEfpdkdmDSNNXGQJNqxQHhbV/LF,NsRQWTDdyQEMYBfYNfIVCtFTjlrEXaIwUefpZWg,21,MANDATORY_READING,Dipl.-Ing.,Anna,Müller,Dorfstraße,15,58553,Halver,Buschhausen,anna.müller@example.com
Meter Reading (MR) Doc. No.,QedQlmrTYWqEvyxiNyEgrTlUxTgQWVKhXmePAaL,fHwvOWAQyJphIBaZfXmsPTg+OSSTQgXbMgpEZJi,cIdbD+bdqZZAwEfpdkdmDSNNXGQJNqxQHhbV/LF,NsRQWTDdyQEMYBfYNfIVCtFTjlrEXaIwUefpZWg,21,MANDATORY_READING,Dipl.-Ing.,Anna,Müller,Dorfstraße,15,58553,Halver,Buschhausen,anna.müller@example.com
Meter Reading (MR) Doc. No.,QedQlmrTYWqEvyxiNyEgrTlUxTgQWVKhXmePAaL,fHwvOWAQyJphIBaZfXmsPTg+OSSTQgXbMgpEZJi,cIdbD+bdqZZAwEfpdkdmDSNNXGQJNqxQHhbV/LF,NsRQWTDdyQEMYBfYNfIVCtFTjlrEXaIwUefpZWg,21,MANDATORY_READING,Dipl.-Ing.,Anna,Müller,Dorfstraße,15,58553,Halver,Buschhausen,anna.müller@example.com
Meter Reading (MR) Doc. No.,JZuSWEYcZJTITVs+cQjHNblqYnUdaAWPJLZURRs,RtWqSMMRSLdTVKFUoDYoRIKZfBWWyNCxC+JXpA/,TMiVQIkxIkUrmLZHsZQTh/hCLzUiVuXITEpJcon,hwbsWdXRAcaeUYSIjoIRYwORoFplmQTKrWjUiet,6,MANDATORY_READING,,,,,,,,,
Meter Reading (MR) Doc. No.,JZuSWEYcZJTITVs+cQjHNblqYnUdaAWPJLZURRs,RtWqSMMRSLdTVKFUoDYoRIKZfBWWyNCxC+JXpA/,TMiVQIkxIkUrmLZHsZQTh/hCLzUiVuXITEpJcon,hwbsWdXRAcaeUYSIjoIRYwORoFplmQTKrWjUiet,6,MANDATORY_READING,,,,,,,,,
Meter Reading (MR) Doc. No.,JZuSWEYcZJTITVs+cQjHNblqYnUdaAWPJLZURRs,RtWqSMMRSLdTVKFUoDYoRIKZfBWWyNCxC+JXpA/,TMiVQIkxIkUrmLZHsZQTh/hCLzUiVuXITEpJcon,hwbsWdXRAcaeUYSIjoIRYwORoFplmQTKrWjUiet,6,MANDATORY_READING,,,,,,,,,
Meter Reading (MR) Doc. No.,JZuSWEYcZJTITVs+cQjHNblqYnUdaAWPJLZURRs,RtWqSMMRSLdTVKFUoDYoRIKZfBWWyNCxC+JXpA/,TMiVQIkxIkUrmLZHsZQTh/hCLzUiVuXITEpJcon,hwbsWdXRAcaeUYSIjoIRYwORoFplmQTKrWjUiet,6,MANDATORY_READING,,,,,,,,,
Meter Reading (MR) Doc. No.,erqSQXxWEULZlQKJJscUNhguMLWRB/fbRRWpZbA,DaCVXEmnfqzDXkeVXOckTZURNLmKBwWQXlHpxtQ,ZcEoXFoXXKfcdPLBIqBdPTDTWpdVhzrFCLYROBi,SjfElShQIsR/kVNRWYAvKODutybBbXiXritNRkc,2,MANDATORY_READING,Frau,Sabine,Schmidt,Kirchweg,1a,58093,Hagen,Fley,sabine.schmidt@example.com
Meter Reading (MR) Doc. No.,erqSQXxWEULZlQKJJscUNhguMLWRB/fbRRWpZbA,DaCVXEmnfqzDXkeVXOckTZURNLmKBwWQXlHpxtQ,ZcEoXFoXXKfcdPLBIqBdPTDTWpdVhzrFCLYROBi,SjfElShQIsR/kVNRWYAvKODutybBbXiXritNRkc,2,MANDATORY_READING,Frau,Sabine,Schmidt,Kirchweg,1a,58093,Hagen,Fley,sabine.schmidt@example.com
Meter Reading (MR) Doc. No.,erqSQXxWEULZlQKJJscUNhguMLWRB/fbRRWpZbA,DaCVXEmnfqzDXkeVXOckTZURNLmKBwWQXlHpxtQ,ZcEoXFoXXKfcdPLBIqBdPTDTWpdVhzrFCLYROBi,SjfElShQIsR/kVNRWYAvKODutybBbXiXritNRkc,2,MANDATORY_READING,Frau,Sabine,Schmidt,Kirchweg,1a,58093,Hagen,Fley,sabine.schmidt@example.com
Meter Reading (MR) Doc. No.,erqSQXxWEULZlQKJJscUNhguMLWRB/fbRRWpZbA,DaCVXEmnfqzDXkeVXOckTZURNLmKBwWQXlHpxtQ,ZcEoXFoXXKfcdPLBIqBdPTDTWpdVhzrFCLYROBi,SjfElShQIsR/kVNRWYAvKODutybBbXiXritNRkc,2,MANDATORY_READING,Frau,Sabine,Schmidt,Kirchweg,1a,58093,Hagen,Fley,sabine.schmidt@example.com
Meter Reading (MR) Doc. No.,aRWRML/uQbjHBKOxgNCPUKTziXSZ/QsDALRoyHg,Z/LHcDAVlaJAl+oZsyRBDrmgdQxqBJT+/fHXJih,mdjXvXSlSvTNUmBWRczAyZUPKXIAGdhnkfypXre,KaSwYFuWIxYHkWtHXdaXWOL+wXVWAMLP/owmQl+,2,MANDATORY_READING,Dipl.-Ing.,Thomas,Fischer,Lindenallee,15,58553,Halver,Buschhausen,thomas.fischer@example.com
Meter Reading (MR) Doc. No.,aRWRML/uQbjHBKOxgNCPUKTziXSZ/QsDALRoyHg,Z/LHcDAVlaJAl+oZsyRBDrmgdQxqBJT+/fHXJih,mdjXvXSlSvTNUmBWRczAyZUPKXIAGdhnkfypXre,KaSwYFuWIxYHkWtHXdaXWOL+wXVWAMLP/owmQl+,2,MANDATORY_READING,Dipl.-Ing.,Thomas,Fischer,Lindenallee,15,58553,Halver,Buschhausen,thomas.fischer@example.com
Meter Reading (MR) Doc. No.,WGgROwdOFtkQFdYsbuYRhWmQNoQgmZfrOUGSHX/,tQqSoQWeSTbCSzlXEvJ+JVXbkSTZlSqWbDkeQKV,yQlYsrmQeUR/EaLStXWLklVSWTbtCemSvGNJILZ,KgKuZSZMEhGSyLJjIQaQGJrSLuYPZxwWaYXJjGR,1,MANDATORY_READING,Herr,Anna,Wagner,Lindenallee,2,58553,Halver,Buschhausen,anna.wagner@example.com
Meter Reading (MR) Doc. No.,WGgROwdOFtkQFdYsbuYRhWmQNoQgmZfrOUGSHX/,tQqSoQWeSTbCSzlXEvJ+JVXbkSTZlSqWbDkeQKV,yQlYsrmQeUR/EaLStXWLklVSWTbtCemSvGNJILZ,KgKuZSZMEhGSyLJjIQaQGJrSLuYPZxwWaYXJjGR,1,MANDATORY_READING,Herr,Anna,Wagner,Lindenallee,2,58553,Halver,Buschhausen,anna.wagner@example.com
Meter Reading (MR) Doc. No.,WGgROwdOFtkQFdYsbuYRhWmQNoQgmZfrOUGSHX/,tQqSoQWeSTbCSzlXEvJ+JVXbkSTZlSqWbDkeQKV,yQlYsrmQeUR/EaLStXWLklVSWTbtCemSvGNJILZ,KgKuZSZMEhGSyLJjIQaQGJrSLuYPZxwWaYXJjGR,1,MANDATORY_READING,Herr,Anna,Wagner,Lindenallee,2,58553,Halver,Buschhausen,anna.wagner@example.com
Meter Reading (MR) Doc. No.,WGgROwdOFtkQFdYsbuYRhWmQNoQgmZfrOUGSHX/,tQqSoQWeSTbCSzlXEvJ+JVXbkSTZlSqWbDkeQKV,yQlYsrmQeUR/EaLStXWLklVSWTbtCemSvGNJILZ,KgKuZSZMEhGSyLJjIQaQGJrSLuYPZxwWaYXJjGR,1,MANDATORY_READING,Herr,Anna,Wagner,Lindenallee,2,58553,Halver,Buschhausen,anna.wagner@example.com
Meter Reading (MR) Doc. No.,JgXRSPKRWtZnDtCWTuQvZiJGBXebXveAzkYvKSR,HWXaUySorBTpzg+VjSVEaDJYjXQlqdksRkzLVpf,WVFiLGIgmkWkZGrQejVaWRJBnSXWsZRjFZMeyZo,pfWt/jIYYrjXBdgAeSdDVRLoFsRwvTZQZDexNfq,46,MANDATORY_READING,Dr.,Thomas,Meyer,Gartenstraße,25,58093,Hagen,Fley,thomas.meyer@example.com
Meter Reading (MR) Doc. No.,JgXRSPKRWtZnDtCWTuQvZiJGBXebXveAzkYvKSR,HWXaUySorBTpzg+VjSVEaDJYjXQlqdksRkzLVpf,WVFiLGIgmkWkZGrQejVaWRJBnSXWsZRjFZMeyZo,pfWt/jIYYrjXBdgAeSdDVRLoFsRwvTZQZDexNfq,46,MANDATORY_READING,Dr.,Thomas,Meyer,Gartenstraße,25,58093,Hagen,Fley,thomas.meyer@example.com
Meter Reading (MR) Doc. No.,JgXRSPKRWtZnDtCWTuQvZiJGBXebXveAzkYvKSR,HWXaUySorBTpzg+VjSVEaDJYjXQlqdksRkzLVpf,WVFiLGIgmkWkZGrQejVaWRJBnSXWsZRjFZMeyZo,pfWt/jIYYrjXBdgAeSdDVRLoFsRwvTZQZDexNfq,46,MANDATORY_READING,Dr.,Thomas,Meyer,Gartenstraße,25,58093,Hagen,Fley,thomas.meyer@example.com
Meter Reading (MR) Doc. No.,JgXRSPKRWtZnDtCWTuQvZiJGBXebXveAzkYvKSR,HWXaUySorBTpzg+VjSVEaDJYjXQlqdksRkzLVpf,WVFiLGIgmkWkZGrQejVaWRJBnSXWsZRjFZMeyZo,pfWt/jIYYrjXBdgAeSdDVRLoFsRwvTZQZDexNfq,46,MANDATORY_READING,Dr.,Thomas,Meyer,Gartenstraße,25,58093,Hagen,Fley,thomas.meyer@example.com
Meter Reading (MR) Doc. No.,JGZHEDQSRSTTCGVUTBuiWIXTJf+WKZPSozMxQje,AoRzTmFVZirAP+UxHUZ+lVdBpaZeXoL/QoesiUf,TNYInd/BTAgULrSRAnlEdRSUhniJSgzQBqCZLrS,pSGBjqWZiAPXMSVviqGAjPGbbppsTWmkXYZe/yd,55,MANDATORY_READING,Dipl.-Ing.,Maria,Schulz,Schulstraße,25,58099,Hagen,Boele,maria.schulz@example.com
Meter Reading (MR) Doc. No.,JGZHEDQSRSTTCGVUTBuiWIXTJf+WKZPSozMxQje,AoRzTmFVZirAP+UxHUZ+lVdBpaZeXoL/QoesiUf,TNYInd/BTAgULrSRAnlEdRSUhniJSgzQBqCZLrS,pSGBjqWZiAPXMSVviqGAjPGbbppsTWmkXYZe/yd,55,MANDATORY_READING,Dipl.-Ing.,Maria,Schulz,Schulstraße,25,58099,Hagen,Boele,maria.schulz@example.com
Meter Reading (MR) Doc. No.,JGZHEDQSRSTTCGVUTBuiWIXTJf+WKZPSozMxQje,AoRzTmFVZirAP+UxHUZ+lVdBpaZeXoL/QoesiUf,TNYInd/BTAgULrSRAnlEdRSUhniJSgzQBqCZLrS,pSGBjqWZiAPXMSVviqGAjPGbbppsTWmkXYZe/yd,55,MANDATORY_READING,Dipl.-Ing.,Maria,Schulz,Schulstraße,25,58099,Hagen,Boele,maria.schulz@example.com
Meter Reading (MR) Doc. No.,JGZHEDQSRSTTCGVUTBuiWIXTJf+WKZPSozMxQje,AoRzTmFVZirAP+UxHUZ+lVdBpaZeXoL/QoesiUf,TNYInd/BTAgULrSRAnlEdRSUhniJSgzQBqCZLrS,pSGBjqWZiAPXMSVviqGAjPGbbppsTWmkXYZe/yd,55,MANDATORY_READING,Dipl.-Ing.,Maria,Schulz,Schulstraße,25,58099,Hagen,Boele,maria.schulz@example.com
Meter Reading (MR) Doc. No.,C+ZF/VflEoEjrpbWTSeJjfxguCoBUZpdetbUGOK,TLWpmRydtYLjsJlWgRUOYysmHL+xmVpRDIiUKXe,JfKYIsD+HrRYrbdwFYYYyWZjxamq/FZUFGDmjoT,phhEBFRunLSLvxIKHoSwAjWSxtrlaflQxQSlhU/,24,MANDATORY_READING,Dipl.-Ing.,Klaus,Weber,Gartenstraße,12c,58840,Plettenberg,Plettenberg I,klaus.weber@example.com
