Meter Reading (MR) Doc. No.,HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,FORENAME,SURNAME,STREET,STREETNO,POST_CODE1,CITY1,CITY2,EMAIL
RbhFJRlyjMXnRF/UHFD+vzjXSifikuXNxiuTzeu,DphRDWaIofhFTAOPZUzVYdwNXxRsUfnvsoDXiZE,TasVJJZtBopIDlTmPhvwirRAoVFlpqNx/eJgbxw,YkOmhUzUMTSgSaYxcEmjmYrdQzUQijKmX+nZM/S,sB+siWVYhSlKUciWyTJFpFSWwDTxZpY/eHacPTP,73,MANDATORY_READING,Dipl.-Ing.,Julia,Weber,Gartenstraße,,58809,Neuenrade,Neuenrade,
UEWBcmZLHYNvHcoYLVBjUBiQVWcBUNXXqHUTWIM,DphRDWaIofhFTAOPZUzVYdwNXxRsUfnvsoDXiZE,TasVJJZtBopIDlTmPhvwirRAoVFlpqNx/eJgbxw,YkOmhUzUMTSgSaYxcEmjmYrdQzUQijKmX+nZM/S,sB+siWVYhSlKUciWyTJFpFSWwDTxZpY/eHacPTP,73,MANDATORY_READING,Dipl.-Ing.,Julia,Weber,Gartenstraße,,58809,Neuenrade,Neuenrade,
bnplQDNpWFmYTguoDyjWrVwOkRQmNXswVrNVmRn,DphRDWaIofhFTAOPZUzVYdwNXxRsUfnvsoDXiZE,TasVJJZtBopIDlTmPhvwirRAoVFlpqNx/eJgbxw,YkOmhUzUMTSgSaYxcEmjmYrdQzUQijKmX+nZM/S,sB+siWVYhSlKUciWyTJFpFSWwDTxZpY/eHacPTP,73,MANDATORY_READING,Dipl.-Ing.,Julia,Weber,Gartenstraße,,58809,Neuenrade,Neuenrade,
iGxQSWLZJW/DBUsDRNdjUxgXnvtJkojzZiUtOyN,DphRDWaIofhFTAOPZUzVYdwNXxRsUfnvsoDXiZE,TasVJJZtBopIDlTmPhvwirRAoVFlpqNx/eJgbxw,YkOmhUzUMTSgSaYxcEmjmYrdQzUQijKmX+nZM/S,sB+siWVYhSlKUciWyTJFpFSWwDTxZpY/eHacPTP,73,MANDATORY_READING,Dipl.-Ing.,Julia,Weber,Gartenstraße,,58809,Neuenrade,Neuenrade,
SgQVEMqpPQsCxVdVccafRvOSqZYLVTcVarVDnYS,/anpkuflTwruVlSijbaYJZztzBYDgEVSdfssHSR,sXfSC/drSXZRfhiTATSVtmwRUYmRATAaWTLziJp,KnUsgPQZTTwYbBNzRYIBvWpZOIoGMQnDBYHAUVZ,VbGhmYUvyp/SWolIxiRRJtTdGcWaDCXvTzYPWDZ,3,MANDATORY_READING,Dr.,Petra,Schmidt,Kirchweg,,58513,Lüdenscheid,,
YDCGsieIjSrhtRRZuMocAndIKDyAkgTIhHrhjTI,/anpkuflTwruVlSijbaYJZztzBYDgEVSdfssHSR,sXfSC/drSXZRfhiTATSVtmwRUYmRATAaWTLziJp,KnUsgPQZTTwYbBNzRYIBvWpZOIoGMQnDBYHAUVZ,VbGhmYUvyp/SWolIxiRRJtTdGcWaDCXvTzYPWDZ,3,MANDATORY_READING,Dr.,Petra,Schmidt,Kirchweg,,58513,Lüdenscheid,,
dRbbvKexLRFTsNHwOcqSJlImQrxjStobMQ/OSZk,/anpkuflTwruVlSijbaYJZztzBYDgEVSdfssHSR,sXfSC/drSXZRfhiTATSVtmwRUYmRATAaWTLziJp,KnUsgPQZTTwYbBNzRYIBvWpZOIoGMQnDBYHAUVZ,VbGhmYUvyp/SWolIxiRRJtTdGcWaDCXvTzYPWDZ,3,MANDATORY_READING,Dr.,Petra,Schmidt,Kirchweg,,58513,Lüdenscheid,,
jFgbZXiUMWQEWhZjWhSAljorDTCPtSuTwU+yNXY,/anpkuflTwruVlSijbaYJZztzBYDgEVSdfssHSR,sXfSC/drSXZRfhiTATSVtmwRUYmRATAaWTLziJp,KnUsgPQZTTwYbBNzRYIBvWpZOIoGMQnDBYHAUVZ,VbGhmYUvyp/SWolIxiRRJtTdGcWaDCXvTzYPWDZ,3,MANDATORY_READING,Dr.,Petra,Schmidt,Kirchweg,,58513,Lüdenscheid,,
W/tEZFCQnpojHTbXjxZaImKWU/WXhTkMjfc/Qxb,XiorberRicQbzCYiXqmTbyuahDvuZcWDfIaYOkP,gflXAWlTXSpZAUNMibHHeojRPwQYfnrDnVUWAFc,TXwIwqEwWUGhXcHgcnMYfprnqVUwYiaLM+qwurS,XfXZTaaaYbShtrGSNNTEIudSAVaGYXJlGVaYgad,17,MANDATORY_READING,Dipl.-Ing.,Anna,Wagner,Bergstraße,,58515,Lüdenscheid,,
cUpZVTRaHjQzzXrmHvFpupqRvQiruNWraigXZwU,XiorberRicQbzCYiXqmTbyuahDvuZcWDfIaYOkP,gflXAWlTXSpZAUNMibHHeojRPwQYfnrDnVUWAFc,TXwIwqEwWUGhXcHgcnMYfprnqVUwYiaLM+qwurS,XfXZTaaaYbShtrGSNNTEIudSAVaGYXJlGVaYgad,17,MANDATORY_READING,Dipl.-Ing.,Anna,Wagner,Bergstraße,,58515,Lüdenscheid,,
gclXQJQLJehCQfyUtWWU/WmXkUSKSpwDJQknrxB,XiorberRicQbzCYiXqmTbyuahDvuZcWDfIaYOkP,gflXAWlTXSpZAUNMibHHeojRPwQYfnrDnVUWAFc,TXwIwqEwWUGhXcHgcnMYfprnqVUwYiaLM+qwurS,XfXZTaaaYbShtrGSNNTEIudSAVaGYXJlGVaYgad,17,MANDATORY_READING,Dipl.-Ing.,Anna,Wagner,Bergstraße,,58515,Lüdenscheid,,
sZpGhZSWtgfSNHSOaYRVftEtcIdlVXvQtLGlYBP,XiorberRicQbzCYiXqmTbyuahDvuZcWDfIaYOkP,gflXAWlTXSpZAUNMibHHeojRPwQYfnrDnVUWAFc,TXwIwqEwWUGhXcHgcnMYfprnqVUwYiaLM+qwurS,XfXZTaaaYbShtrGSNNTEIudSAVaGYXJlGVaYgad,17,MANDATORY_READING,Dipl.-Ing.,Anna,Wagner,Bergstraße,,58515,Lüdenscheid,,
OdQIAQFEJTOjEsOKbk+JPxlkqOYVToaBMXgdmwK,nxXurZpSvAZWIHWBNkAGX+tbdlpSjfefAPFwtTC,XZPqveWYyuDoaRGfb/C+FoJPxaMkSZLokUmZ/by,vxSfiXsdXGhiXuSQy/UeKlQfFSgZZVSaBaBTYUj,GejYsqwZxResiXRGwenRNUlDt/nZphOZTW+ZlWz,31,MANDATORY_READING,Dr.,Sabine,Müller,Kirchweg,,58553,Halver,Halver,
TYrUPRWEPxdiXJfsvsVgVTQVTdaGZuVGhRVqTTj,nxXurZpSvAZWIHWBNkAGX+tbdlpSjfefAPFwtTC,XZPqveWYyuDoaRGfb/C+FoJPxaMkSZLokUmZ/by,vxSfiXsdXGhiXuSQy/UeKlQfFSgZZVSaBaBTYUj,GejYsqwZxResiXRGwenRNUlDt/nZphOZTW+ZlWz,31,MANDATORY_READING,Dr.,Sabine,Müller,Kirchweg,,58553,Halver,Halver,
U/zjDTPpeKgumsiUZDUvbWWbdRdSDhWdaopbVHh,nxXurZpSvAZWIHWBNkAGX+tbdlpSjfefAPFwtTC,XZPqveWYyuDoaRGfb/C+FoJPxaMkSZLokUmZ/by,vxSfiXsdXGhiXuSQy/UeKlQfFSgZZVSaBaBTYUj,GejYsqwZxResiXRGwenRNUlDt/nZphOZTW+ZlWz,31,MANDATORY_READING,Dr.,Sabine,Müller,Kirchweg,,58553,Halver,Halver,
vrHR+UetyoaSUvRURzdAKuZgTVQounrxwAfBYuZ,nxXurZpSvAZWIHWBNkAGX+tbdlpSjfefAPFwtTC,XZPqveWYyuDoaRGfb/C+FoJPxaMkSZLokUmZ/by,vxSfiXsdXGhiXuSQy/UeKlQfFSgZZVSaBaBTYUj,GejYsqwZxResiXRGwenRNUlDt/nZphOZTW+ZlWz,31,MANDATORY_READING,Dr.,Sabine,Müller,Kirchweg,,58553,Halver,Halver,
MHXqASiGaGQxjfYnHyadkJFUBSkXQVyUcSZCUMz,LOWclLgxprNPt/AIBKmuUr+TrBYhTVcjBtmNvpM,yHfBcyiZYtsqHRHVLTtM+neeSAXkTnZkvXKSvmj,wYWXWgSjTcTfBQtoztAXUVNUXfEFtkACEYUvQOH,QjvTjFVuOGWoZtsUqNUNZcRfTwXXDTIToBUXNCu,2,MANDATORY_READING,Dr.,Petra,Wagner,Gartenstraße,,58089,Hagen,Vorhalle,
PRUbISgmSytLSI+vZBYTyIesSCqITH+RxWhRoVT,LOWclLgxprNPt/AIBKmuUr+TrBYhTVcjBtmNvpM,yHfBcyiZYtsqHRHVLTtM+neeSAXkTnZkvXKSvmj,wYWXWgSjTcTfBQtoztAXUVNUXfEFtkACEYUvQOH,QjvTjFVuOGWoZtsUqNUNZcRfTwXXDTIToBUXNCu,2,MANDATORY_READING,Dr.,Petra,Wagner,Gartenstraße,,58089,Hagen,Vorhalle,
mVqmUDoYHTUyAYGvMEfwlVflSul/TUvhgNfeHV/,LOWclLgxprNPt/AIBKmuUr+TrBYhTVcjBtmNvpM,yHfBcyiZYtsqHRHVLTtM+neeSAXkTnZkvXKSvmj,wYWXWgSjTcTfBQtoztAXUVNUXfEFtkACEYUvQOH,QjvTjFVuOGWoZtsUqNUNZcRfTwXXDTIToBUXNCu,2,MANDATORY_READING,Dr.,Petra,Wagner,Gartenstraße,,58089,Hagen,Vorhalle,
tTIYaeTeXKvpZYVJBOAvcZHqhoJXQTwdmQBrEUV,LOWclLgxprNPt/AIBKmuUr+TrBYhTVcjBtmNvpM,yHfBcyiZYtsqHRHVLTtM+neeSAXkTnZkvXKSvmj,wYWXWgSjTcTfBQtoztAXUVNUXfEFtkACEYUvQOH,QjvTjFVuOGWoZtsUqNUNZcRfTwXXDTIToBUXNCu,2,MANDATORY_READING,Dr.,Petra,Wagner,Gartenstraße,,58089,Hagen,Vorhalle,
CQCYWXBLALkPYclXYTTVwdYSSoQCOwJAEYTYnIG,ZYeaJXVkGiZKihWgyLc+uWaJQhjRMGThqYIXAzQ,DdQNvUVSiTlabYwrHujRpjISsXnjO/pYLPb+YmY,TMvVTCzQJZPfAVZHTFkLTKfOcCfmYjcaWvhWUuE,OkvBwBZQTceaWSKViDGJYefQLkMabVRYwwqZm/y,48,MANDATORY_READING,Dipl.-Ing.,Sabine,Müller,Schulstraße,1a,58762,Altena,Altena,sabine.müller@example.com
JgbrRSvWXJUjDtYofuVJcx+eXFUZVRtPiRGnswc,ZYeaJXVkGiZKihWgyLc+uWaJQhjRMGThqYIXAzQ,DdQNvUVSiTlabYwrHujRpjISsXnjO/pYLPb+YmY,TMvVTCzQJZPfAVZHTFkLTKfOcCfmYjcaWvhWUuE,OkvBwBZQTceaWSKViDGJYefQLkMabVRYwwqZm/y,48,MANDATORY_READING,Dipl.-Ing.,Sabine,Müller,Schulstraße,1a,58762,Altena,Altena,sabine.müller@example.com
ShXPZXPEwhHKCTlPcWkxWxlFQeaZrThgjhGaKQl,ZYeaJXVkGiZKihWgyLc+uWaJQhjRMGThqYIXAzQ,DdQNvUVSiTlabYwrHujRpjISsXnjO/pYLPb+YmY,TMvVTCzQJZPfAVZHTFkLTKfOcCfmYjcaWvhWUuE,OkvBwBZQTceaWSKViDGJYefQLkMabVRYwwqZm/y,48,MANDATORY_READING,Dipl.-Ing.,Sabine,Müller,Schulstraße,1a,58762,Altena,Altena,sabine.müller@example.com
JRg+dytPUdyXUZioAdZGVYVpYFVvDtgEbFXQXSn,'+QVOQjmbS/b+zAShocWvmQFh+ReixSGcQpVO/VJ,diliDteTtiRIqXJDREzPZFsQPWIqiFHVyzPGZTT,FZsYQnZkWcTQTcfTDNWXeDVFQBijBzbQRtFSkZV,VmqHffdVfFtwsTdHMTZJceoRSKWvQLVxUIPOjEX,39,MANDATORY_READING,Prof.,Hans,Wagner,Dorfstraße,,58762,Altena,Altena,
ZLjNRrXYBUMbUKZoyn+UxNUAWYkRdXZ/HVEinIX,'+QVOQjmbS/b+zAShocWvmQFh+ReixSGcQpVO/VJ,diliDteTtiRIqXJDREzPZFsQPWIqiFHVyzPGZTT,FZsYQnZkWcTQTcfTDNWXeDVFQBijBzbQRtFSkZV,VmqHffdVfFtwsTdHMTZJceoRSKWvQLVxUIPOjEX,39,MANDATORY_READING,Prof.,Hans,Wagner,Dorfstraße,,58762,Altena,Altena,
fXTG/EcUvbozgSrGZZMoCUlmfGSM+FHYJVYEFBK,'+QVOQjmbS/b+zAShocWvmQFh+ReixSGcQpVO/VJ,diliDteTtiRIqXJDREzPZFsQPWIqiFHVyzPGZTT,FZsYQnZkWcTQTcfTDNWXeDVFQBijBzbQRtFSkZV,VmqHffdVfFtwsTdHMTZJceoRSKWvQLVxUIPOjEX,39,MANDATORY_READING,Prof.,Hans,Wagner,Dorfstraße,,58762,Altena,Altena,
mmCmVZtorVtuWZgmRUrXFAzPMBZUV+tDuaQWWWu,'+QVOQjmbS/b+zAShocWvmQFh+ReixSGcQpVO/VJ,diliDteTtiRIqXJDREzPZFsQPWIqiFHVyzPGZTT,FZsYQnZkWcTQTcfTDNWXeDVFQBijBzbQRtFSkZV,VmqHffdVfFtwsTdHMTZJceoRSKWvQLVxUIPOjEX,39,MANDATORY_READING,Prof.,Hans,Wagner,Dorfstraße,,58762,Altena,Altena,
KYa/i+XrlQ/ZcpitaXYtXNeDfkYgV/rhZNRyYJt,EQVmwZQbXozOIuRxRcGkolxkWfhsRqKkXVNRaT+,ykUPTbrvTaafDv+ZBqBWVQcA+hDoWvbvEDWJPSt,VPKNTQUQhyTMI/QhidpVFpfqXSFnJaQYUYctETi,lSaSkRYsUXWNFQJDrpHbZiobcbWItSXWGIHNffG,12,MANDATORY_READING,Frau,Thomas,Hoffmann,Marktplatz,,58089,Hagen,Vorhalle,
KyQEcUU/JQtrIHIZsRdaRO/bRFCAeckCgqcaakX,EQVmwZQbXozOIuRxRcGkolxkWfhsRqKkXVNRaT+,ykUPTbrvTaafDv+ZBqBWVQcA+hDoWvbvEDWJPSt,VPKNTQUQhyTMI/QhidpVFpfqXSFnJaQYUYctETi,lSaSkRYsUXWNFQJDrpHbZiobcbWItSXWGIHNffG,12,MANDATORY_READING,Frau,Thomas,Hoffmann,Marktplatz,,58089,Hagen,Vorhalle,
ZSEMVfGWiPYTTTj+/zuvWFZgUAaqlgyaoKVPUwr,EQVmwZQbXozOIuRxRcGkolxkWfhsRqKkXVNRaT+,ykUPTbrvTaafDv+ZBqBWVQcA+hDoWvbvEDWJPSt,VPKNTQUQhyTMI/QhidpVFpfqXSFnJaQYUYctETi,lSaSkRYsUXWNFQJDrpHbZiobcbWItSXWGIHNffG,12,MANDATORY_READING,Frau,Thomas,Hoffmann,Marktplatz,,58089,Hagen,Vorhalle,
ZSdZHBFoYYkusRCmZ+XYOjQnmfdvFsUVHsSBSgv,EQVmwZQbXozOIuRxRcGkolxkWfhsRqKkXVNRaT+,ykUPTbrvTaafDv+ZBqBWVQcA+hDoWvbvEDWJPSt,VPKNTQUQhyTMI/QhidpVFpfqXSFnJaQYUYctETi,lSaSkRYsUXWNFQJDrpHbZiobcbWItSXWGIHNffG,12,MANDATORY_READING,Frau,Thomas,Hoffmann,Marktplatz,,58089,Hagen,Vorhalle,
GXGKq/rEiHiZKHgCEgjsTFRhpPfWNHslKOHtoch,zdYNZnXFkznkjcihqZvAWaWwZaGW+XpSmBv/Yxk,AemkIvhqMhbgwSXW+axZrzmyWZSnXLicgtcjQQC,uoVHpe/yCRTlkHZyIqSSYpxfnGSSpXPBkj+ZjNx,ilIssCWUuZlKTKyTWpcruSyRwfaQYbajiWQLRxS,12,MANDATORY_READING,Dr.,Michael,Weber,Marktplatz,,58515,Lüdenscheid,,
POjSHvgFDegydUQSYRVvvciLNXLdccHmRTrVQtz,zdYNZnXFkznkjcihqZvAWaWwZaGW+XpSmBv/Yxk,AemkIvhqMhbgwSXW+axZrzmyWZSnXLicgtcjQQC,uoVHpe/yCRTlkHZyIqSSYpxfnGSSpXPBkj+ZjNx,ilIssCWUuZlKTKyTWpcruSyRwfaQYbajiWQLRxS,12,MANDATORY_READING,Dr.,Michael,Weber,Marktplatz,,58515,Lüdenscheid,,
aOUpnUzGPElqKIAlZnyfEVHWDpXLTitUlvVrWKu,zdYNZnXFkznkjcihqZvAWaWwZaGW+XpSmBv/Yxk,AemkIvhqMhbgwSXW+axZrzmyWZSnXLicgtcjQQC,uoVHpe/yCRTlkHZyIqSSYpxfnGSSpXPBkj+ZjNx,ilIssCWUuZlKTKyTWpcruSyRwfaQYbajiWQLRxS,12,MANDATORY_READING,Dr.,Michael,Weber,Marktplatz,,58515,Lüdenscheid,,
aWTrVjTtcwceRqrzbuFAjVRQlZxMVjW+gWJOjRU,zdYNZnXFkznkjcihqZvAWaWwZaGW+XpSmBv/Yxk,AemkIvhqMhbgwSXW+axZrzmyWZSnXLicgtcjQQC,uoVHpe/yCRTlkHZyIqSSYpxfnGSSpXPBkj+ZjNx,ilIssCWUuZlKTKyTWpcruSyRwfaQYbajiWQLRxS,12,MANDATORY_READING,Dr.,Michael,Weber,Marktplatz,,58515,Lüdenscheid,,
'+TQEvgdBYYpjLbIGVRVaikQxgXbYXNtuSRgt+Yr,RXUTKtdMMplTMyawXvSX/lQohFGVWRXE+WHGYXT,ORrsmLkSvHWYqGWVqUGE/KSUvdVtJdZkNjRlltG,EVTAPFMQUkceydXNFtWZMXCJQGRLxAOahJyYJhO,RmWsQWmrcjRHpwYpFdVK+SKRdfVSjWkgCOtQkdM,3,MANDATORY_READING,Prof.,Anna,Weber,Hauptstraße,,58515,Lüdenscheid,,
/VIVcxSeNWOzyrSomtX+tfhYXCsycPtIaukgCsf,RXUTKtdMMplTMyawXvSX/lQohFGVWRXE+WHGYXT,ORrsmLkSvHWYqGWVqUGE/KSUvdVtJdZkNjRlltG,EVTAPFMQUkceydXNFtWZMXCJQGRLxAOahJyYJhO,RmWsQWmrcjRHpwYpFdVK+SKRdfVSjWkgCOtQkdM,3,MANDATORY_READING,Prof.,Anna,Weber,Hauptstraße,,58515,Lüdenscheid,,
CYLieY+TYGRUuUFfq//ldgNZLjsShFdtGG+sKzo,RXUTKtdMMplTMyawXvSX/lQohFGVWRXE+WHGYXT,ORrsmLkSvHWYqGWVqUGE/KSUvdVtJdZkNjRlltG,EVTAPFMQUkceydXNFtWZMXCJQGRLxAOahJyYJhO,RmWsQWmrcjRHpwYpFdVK+SKRdfVSjWkgCOtQkdM,3,MANDATORY_READING,Prof.,Anna,Weber,Hauptstraße,,58515,Lüdenscheid,,
HKinpqraFtvSztKVzTUrmEvyeiWSRztTOGRUuhw,RXUTKtdMMplTMyawXvSX/lQohFGVWRXE+WHGYXT,ORrsmLkSvHWYqGWVqUGE/KSUvdVtJdZkNjRlltG,EVTAPFMQUkceydXNFtWZMXCJQGRLxAOahJyYJhO,RmWsQWmrcjRHpwYpFdVK+SKRdfVSjWkgCOtQkdM,3,MANDATORY_READING,Prof.,Anna,Weber,Hauptstraße,,58515,Lüdenscheid,,
NVTBtfbngdliMxUkcWxyPgZzUPQxXlTZsTIWvrj,RXUTKtdMMplTMyawXvSX/lQohFGVWRXE+WHGYXT,ORrsmLkSvHWYqGWVqUGE/KSUvdVtJdZkNjRlltG,EVTAPFMQUkceydXNFtWZMXCJQGRLxAOahJyYJhO,RmWsQWmrcjRHpwYpFdVK+SKRdfVSjWkgCOtQkdM,3,MANDATORY_READING,Prof.,Anna,Weber,Hauptstraße,,58515,Lüdenscheid,,
Q/sRQXRjugDXXhcvXQWSuwbDQZFVbiQvTgRhWwT,RXUTKtdMMplTMyawXvSX/lQohFGVWRXE+WHGYXT,ORrsmLkSvHWYqGWVqUGE/KSUvdVtJdZkNjRlltG,EVTAPFMQUkceydXNFtWZMXCJQGRLxAOahJyYJhO,RmWsQWmrcjRHpwYpFdVK+SKRdfVSjWkgCOtQkdM,3,MANDATORY_READING,Prof.,Anna,Weber,Hauptstraße,,58515,Lüdenscheid,,
TUpUjRyHkxbvTEvcPAvLGWiYafrTuNn+TjXGTtv,RXUTKtdMMplTMyawXvSX/lQohFGVWRXE+WHGYXT,ORrsmLkSvHWYqGWVqUGE/KSUvdVtJdZkNjRlltG,EVTAPFMQUkceydXNFtWZMXCJQGRLxAOahJyYJhO,RmWsQWmrcjRHpwYpFdVK+SKRdfVSjWkgCOtQkdM,3,MANDATORY_READING,Prof.,Anna,Weber,Hauptstraße,,58515,Lüdenscheid,,
VAEHwSRZdPaNSVjVvyRELaKTShoQoknWmKdJxLS,RXUTKtdMMplTMyawXvSX/lQohFGVWRXE+WHGYXT,ORrsmLkSvHWYqGWVqUGE/KSUvdVtJdZkNjRlltG,EVTAPFMQUkceydXNFtWZMXCJQGRLxAOahJyYJhO,RmWsQWmrcjRHpwYpFdVK+SKRdfVSjWkgCOtQkdM,3,MANDATORY_READING,Prof.,Anna,Weber,Hauptstraße,,58515,Lüdenscheid,,
dDTU/RpYHoXpSKVJbNVXaCVSpPQu+YPLrYUZcsY,RXUTKtdMMplTMyawXvSX/lQohFGVWRXE+WHGYXT,ORrsmLkSvHWYqGWVqUGE/KSUvdVtJdZkNjRlltG,EVTAPFMQUkceydXNFtWZMXCJQGRLxAOahJyYJhO,RmWsQWmrcjRHpwYpFdVK+SKRdfVSjWkgCOtQkdM,3,MANDATORY_READING,Prof.,Anna,Weber,Hauptstraße,,58515,Lüdenscheid,,
jaUSYLvKBAlnjHxUgXZDPThQtuxQYzJSGhvZEVE,RXUTKtdMMplTMyawXvSX/lQohFGVWRXE+WHGYXT,ORrsmLkSvHWYqGWVqUGE/KSUvdVtJdZkNjRlltG,EVTAPFMQUkceydXNFtWZMXCJQGRLxAOahJyYJhO,RmWsQWmrcjRHpwYpFdVK+SKRdfVSjWkgCOtQkdM,3,MANDATORY_READING,Prof.,Anna,Weber,Hauptstraße,,58515,Lüdenscheid,,
/mHxJDl/VrYWpDsobDcIVZnZWABRhDJwEfhawYF,qgmVZSZYmGSUuDFblSEQV+FVVUIrhQLf/QLIDMg,QlfKLVDxzOSMsyJAATwU/pZeUlRXUIVRLcSJZAw,bbcQ/FQcUUQLTXUSVmzCVUSYmVQrxUOYpkGqDov,SRuBZSXviaqPpXeaXnYymsMWWeKhiWpQJ+eEfWC,120,MANDATORY_READING,Dipl.-Ing.,Maria,Schulz,Hauptstraße,,58089,Hagen,Vorhalle,
