Meter Reading (MR) Doc. No.,HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,FORENAME,SURNAME,STREET,STREETNO,POST_CODE1,CITY1,CITY2,EMAIL
RElusdPZarGEkToUXQrURpaeZHNVTqCCuWCxSyH,e+pwcXW+mqvBFYUhxlXKZXpQWqlRUJvmSQPiYHl,UiSctWGtZPUlCRpBMdUYbiFapRYuqFXTEMTtSsa,cHkQyIbdzJdOozTYUjqI+MWxqvifxePJxsUfMVt,vYmSSTSaYWSQlZjZWXgORpvMUjKDzjlv+xQRXTG,82,DIRECT_MAIL,Dipl.-Ing.,Julia,Wagner,Marktplatz,20,58762,Altena,Altena,julia.wagner@example.com
YWlSCTDTGQEZS+HRZMBnmUja/UVniUQYuHhTnns,e+pwcXW+mqvBFYUhxlXKZXpQWqlRUJvmSQPiYHl,UiSctWGtZPUlCRpBMdUYbiFapRYuqFXTEMTtSsa,cHkQyIbdzJdOozTYUjqI+MWxqvifxePJxsUfMVt,vYmSSTSaYWSQlZjZWXgORpvMUjKDzjlv+xQRXTG,82,DIRECT_MAIL,Dipl.-Ing.,Julia,Wagner,Marktplatz,20,58762,Altena,Altena,julia.wagner@example.com
jhxEsxmeWlQFoIlGSyLtvWafSHKScOWlQXlRokw,e+pwcXW+mqvBFYUhxlXKZXpQWqlRUJvmSQPiYHl,UiSctWGtZPUlCRpBMdUYbiFapRYuqFXTEMTtSsa,cHkQyIbdzJdOozTYUjqI+MWxqvifxePJxsUfMVt,vYmSSTSaYWSQlZjZWXgORpvMUjKDzjlv+xQRXTG,82,DIRECT_MAIL,Dipl.-Ing.,Julia,Wagner,Marktplatz,20,58762,Altena,Altena,julia.wagner@example.com
nRP+xtWJfAQypUZURSljnPXRPWVWvVmQUNU+rAS,e+pwcXW+mqvBFYUhxlXKZXpQWqlRUJvmSQPiYHl,UiSctWGtZPUlCRpBMdUYbiFapRYuqFXTEMTtSsa,cHkQyIbdzJdOozTYUjqI+MWxqvifxePJxsUfMVt,vYmSSTSaYWSQlZjZWXgORpvMUjKDzjlv+xQRXTG,82,DIRECT_MAIL,Dipl.-Ing.,Julia,Wagner,Marktplatz,20,58762,Altena,Altena,julia.wagner@example.com
sTNYgitzWuXrkgTNhSTSXzRZtmMEOOSRITYXzDT,e+pwcXW+mqvBFYUhxlXKZXpQWqlRUJvmSQPiYHl,UiSctWGtZPUlCRpBMdUYbiFapRYuqFXTEMTtSsa,cHkQyIbdzJdOozTYUjqI+MWxqvifxePJxsUfMVt,vYmSSTSaYWSQlZjZWXgORpvMUjKDzjlv+xQRXTG,82,DIRECT_MAIL,Dipl.-Ing.,Julia,Wagner,Marktplatz,20,58762,Altena,Altena,julia.wagner@example.com
ykOrBXUIhIdSZUeYfaQTfAuyG+SjZcoWYVUpAUc,e+pwcXW+mqvBFYUhxlXKZXpQWqlRUJvmSQPiYHl,UiSctWGtZPUlCRpBMdUYbiFapRYuqFXTEMTtSsa,cHkQyIbdzJdOozTYUjqI+MWxqvifxePJxsUfMVt,vYmSSTSaYWSQlZjZWXgORpvMUjKDzjlv+xQRXTG,82,DIRECT_MAIL,Dipl.-Ing.,Julia,Wagner,Marktplatz,20,58762,Altena,Altena,julia.wagner@example.com
SiCPXIBgYwIBtdQdynXzKIOyGuFZqcqYyRJC+gg,quQWjVGeibtYcmEcxBFoQychSWdjmuOoCMYUuMg,xsyLiWgUVRE/dkgbADIMPVGNFshtMTiTzxYyyXT,LyqoRezZWzEpLFZg+xNfbdM/gXMKANKeJZGXpwP,qRQxhPkGgTIYoMZuZvtECPUGYoketbFgXTBZvNz,39,DIRECT_MAIL,Dipl.-Ing.,Thomas,Müller,Waldweg,,58515,Lüdenscheid,,
TXiEsanhdCVQrAiRULDfBAIHFVQVCiTxpFyXWLv,quQWjVGeibtYcmEcxBFoQychSWdjmuOoCMYUuMg,xsyLiWgUVRE/dkgbADIMPVGNFshtMTiTzxYyyXT,LyqoRezZWzEpLFZg+xNfbdM/gXMKANKeJZGXpwP,qRQxhPkGgTIYoMZuZvtECPUGYoketbFgXTBZvNz,39,DIRECT_MAIL,Dipl.-Ing.,Thomas,Müller,Waldweg,,58515,Lüdenscheid,,
wRRFVDWGKBxWXcrNlOSKMZR/SQROFSVSPmbV+Nh,quQWjVGeibtYcmEcxBFoQychSWdjmuOoCMYUuMg,xsyLiWgUVRE/dkgbADIMPVGNFshtMTiTzxYyyXT,LyqoRezZWzEpLFZg+xNfbdM/gXMKANKeJZGXpwP,qRQxhPkGgTIYoMZuZvtECPUGYoketbFgXTBZvNz,39,DIRECT_MAIL,Dipl.-Ing.,Thomas,Müller,Waldweg,,58515,Lüdenscheid,,
yhGDgkZTWGfXPdYnYECBVmFndxcwaZdWTBoDabU,quQWjVGeibtYcmEcxBFoQychSWdjmuOoCMYUuMg,xsyLiWgUVRE/dkgbADIMPVGNFshtMTiTzxYyyXT,LyqoRezZWzEpLFZg+xNfbdM/gXMKANKeJZGXpwP,qRQxhPkGgTIYoMZuZvtECPUGYoketbFgXTBZvNz,39,DIRECT_MAIL,Dipl.-Ing.,Thomas,Müller,Waldweg,,58515,Lüdenscheid,,
TemyQnwWVAROuaVyLGQGTOsTWYhMTXwFY+WjTSI,fxVYNuUDYwZHtQhweAXWZbZllVGPuwyVGHWtkXT,CSodgZZvdcFWeSVQHudOVGJoGhloYhWiQoXQWnT,EUMsDNRNkbLrSAZwJxfqypqRXjdFsKdFVVuvrzf,ShuOR+DdMDuAhQOEgjSNNjrqqbPLexARivhPatd,75,DIRECT_MAIL,Dr.,Sabine,Weber,Schulstraße,,58809,Neuenrade,Neuenrade,
ZLmpATFBXPkrIocVCXWpQTVwUZAJzbkMVwRqrJ+,fxVYNuUDYwZHtQhweAXWZbZllVGPuwyVGHWtkXT,CSodgZZvdcFWeSVQHudOVGJoGhloYhWiQoXQWnT,EUMsDNRNkbLrSAZwJxfqypqRXjdFsKdFVVuvrzf,ShuOR+DdMDuAhQOEgjSNNjrqqbPLexARivhPatd,75,DIRECT_MAIL,Dr.,Sabine,Weber,Schulstraße,,58809,Neuenrade,Neuenrade,
dtBmpznPopXVQAYre/EbDTw/TyDNLmZRxV/BjFJ,fxVYNuUDYwZHtQhweAXWZbZllVGPuwyVGHWtkXT,CSodgZZvdcFWeSVQHudOVGJoGhloYhWiQoXQWnT,EUMsDNRNkbLrSAZwJxfqypqRXjdFsKdFVVuvrzf,ShuOR+DdMDuAhQOEgjSNNjrqqbPLexARivhPatd,75,DIRECT_MAIL,Dr.,Sabine,Weber,Schulstraße,,58809,Neuenrade,Neuenrade,
dyTVhdybtnhxCMRlWEcJQ+moMzrXsKIPNTtyYls,fxVYNuUDYwZHtQhweAXWZbZllVGPuwyVGHWtkXT,CSodgZZvdcFWeSVQHudOVGJoGhloYhWiQoXQWnT,EUMsDNRNkbLrSAZwJxfqypqRXjdFsKdFVVuvrzf,ShuOR+DdMDuAhQOEgjSNNjrqqbPLexARivhPatd,75,DIRECT_MAIL,Dr.,Sabine,Weber,Schulstraße,,58809,Neuenrade,Neuenrade,
CjhzNCuCKYRZKYPUXxZdEoo/ZRuKPESqRgKhyEX,SrsQTSfcyzoKOqQYRsGWJO/bILEhjQiiHhflCSR,albUs+VeQgxnzZvWLVuVjVlcXpXPTfZfgjVssvR,VOWQVTrAAlemvRNQiRSkUDaVH/KoUeWHgWRYIBk,NvZ/GTeUQeDYGeSUQGjKbcLHmRUCWETHCt/JuFY,8,DIRECT_MAIL,Frau,Sabine,Schulz,Gartenstraße,,58089,Hagen,Vorhalle,
hbHHVFk+XSgYMxHRRdJzBSzTgYYOk/bIbRVgfRa,SrsQTSfcyzoKOqQYRsGWJO/bILEhjQiiHhflCSR,albUs+VeQgxnzZvWLVuVjVlcXpXPTfZfgjVssvR,VOWQVTrAAlemvRNQiRSkUDaVH/KoUeWHgWRYIBk,NvZ/GTeUQeDYGeSUQGjKbcLHmRUCWETHCt/JuFY,8,DIRECT_MAIL,Frau,Sabine,Schulz,Gartenstraße,,58089,Hagen,Vorhalle,
mrXevqUaSjLLroWyJXAySNGwwRDUCWBaRTtENSZ,SrsQTSfcyzoKOqQYRsGWJO/bILEhjQiiHhflCSR,albUs+VeQgxnzZvWLVuVjVlcXpXPTfZfgjVssvR,VOWQVTrAAlemvRNQiRSkUDaVH/KoUeWHgWRYIBk,NvZ/GTeUQeDYGeSUQGjKbcLHmRUCWETHCt/JuFY,8,DIRECT_MAIL,Frau,Sabine,Schulz,Gartenstraße,,58089,Hagen,Vorhalle,
oNRHvsyCSW+oStWHMmcUv+TfxZRfTkoRlztOEJi,SrsQTSfcyzoKOqQYRsGWJO/bILEhjQiiHhflCSR,albUs+VeQgxnzZvWLVuVjVlcXpXPTfZfgjVssvR,VOWQVTrAAlemvRNQiRSkUDaVH/KoUeWHgWRYIBk,NvZ/GTeUQeDYGeSUQGjKbcLHmRUCWETHCt/JuFY,8,DIRECT_MAIL,Frau,Sabine,Schulz,Gartenstraße,,58089,Hagen,Vorhalle,
ChPORbAyqusb/ivVtRRdWITarHEECZrTWYvDS+M,mTUSQdqmqSlta+WeSJQpbWJgEdEjLgDctzQxeiB,iRtRzSsSdRPaXWnrFW/vddcMIGqeVCnTaGuHRwf,VOXN/tVdyFZYvuIQjRVlHiTRTXMRVOsjGCgsPwR,VaSPjpWYOUhsRbXpYrYmJuNCtwht+bBcZJEzZcx,21,DIRECT_MAIL,Herr,Peter,Becker,Bergstraße,,58515,Lüdenscheid,,
TpaIUkMCcCnFSVOEMLBsTcQdmgWQMvjyInHcXmS,mTUSQdqmqSlta+WeSJQpbWJgEdEjLgDctzQxeiB,iRtRzSsSdRPaXWnrFW/vddcMIGqeVCnTaGuHRwf,VOXN/tVdyFZYvuIQjRVlHiTRTXMRVOsjGCgsPwR,VaSPjpWYOUhsRbXpYrYmJuNCtwht+bBcZJEzZcx,21,DIRECT_MAIL,Herr,Peter,Becker,Bergstraße,,58515,Lüdenscheid,,
TvzRnZRuCoPFAyLEmxPLYxqSwyFrtRmQVXRbIFk,mTUSQdqmqSlta+WeSJQpbWJgEdEjLgDctzQxeiB,iRtRzSsSdRPaXWnrFW/vddcMIGqeVCnTaGuHRwf,VOXN/tVdyFZYvuIQjRVlHiTRTXMRVOsjGCgsPwR,VaSPjpWYOUhsRbXpYrYmJuNCtwht+bBcZJEzZcx,21,DIRECT_MAIL,Herr,Peter,Becker,Bergstraße,,58515,Lüdenscheid,,
eQImRUSiMXJBUOaUrpLRKFjGnNgP+uACL+iFETN,mTUSQdqmqSlta+WeSJQpbWJgEdEjLgDctzQxeiB,iRtRzSsSdRPaXWnrFW/vddcMIGqeVCnTaGuHRwf,VOXN/tVdyFZYvuIQjRVlHiTRTXMRVOsjGCgsPwR,VaSPjpWYOUhsRbXpYrYmJuNCtwht+bBcZJEzZcx,21,DIRECT_MAIL,Herr,Peter,Becker,Bergstraße,,58515,Lüdenscheid,,
GWkbzWOUgzXWAVDiK/dASiYTeIfcULBjnZajWHj,BkoDNUHXYRdSGAQHFhoKAMEwGwsSLYSGZSaGVQT,HWYRWWUYRhBSMGrsBrHNRjVWUwOOVyHJdScEsGP,CeQEwyBTZzPqQZErVRROYwrrxL/bm//vzH+nIOd,CMEyxgHgEDAiWNJbrTQ/g+meGpnvVbmdVRoXYUQ,12,DIRECT_MAIL,Dr.,Michael,Schulz,Waldweg,,58515,Lüdenscheid,,
LXUgXcqZF/KUZYHnooYMyLmcNU/RXqaDQKnMtrQ,BkoDNUHXYRdSGAQHFhoKAMEwGwsSLYSGZSaGVQT,HWYRWWUYRhBSMGrsBrHNRjVWUwOOVyHJdScEsGP,CeQEwyBTZzPqQZErVRROYwrrxL/bm//vzH+nIOd,CMEyxgHgEDAiWNJbrTQ/g+meGpnvVbmdVRoXYUQ,12,DIRECT_MAIL,Dr.,Michael,Schulz,Waldweg,,58515,Lüdenscheid,,
UJQEAUSTyvbdaGwYrltaRctsSqwz/Np+KQedLle,BkoDNUHXYRdSGAQHFhoKAMEwGwsSLYSGZSaGVQT,HWYRWWUYRhBSMGrsBrHNRjVWUwOOVyHJdScEsGP,CeQEwyBTZzPqQZErVRROYwrrxL/bm//vzH+nIOd,CMEyxgHgEDAiWNJbrTQ/g+meGpnvVbmdVRoXYUQ,12,DIRECT_MAIL,Dr.,Michael,Schulz,Waldweg,,58515,Lüdenscheid,,
VKapWPGijXMmZ+drQB+yQsxAUrgZRRRVYESfzQJ,BkoDNUHXYRdSGAQHFhoKAMEwGwsSLYSGZSaGVQT,HWYRWWUYRhBSMGrsBrHNRjVWUwOOVyHJdScEsGP,CeQEwyBTZzPqQZErVRROYwrrxL/bm//vzH+nIOd,CMEyxgHgEDAiWNJbrTQ/g+meGpnvVbmdVRoXYUQ,12,DIRECT_MAIL,Dr.,Michael,Schulz,Waldweg,,58515,Lüdenscheid,,
FlYGrRgsQgYTwzKVKCttvjMWYTdutPHEWQsXVkg,xiYBIzKTnWt/UolIxTWkTT/KSYsOWimCphEUAXT,cqRWUmioTCHYRjhKXYN+PBgfFzATXSBgXXCTVQJ,jHlIxUhUZwMRTjMzcfnWujaKOQVnUaSxTuEyNLO,wIqO+uaZJYxJGY/RHKTYNcNFAjKBMXeUSGgd/Ci,4,DIRECT_MAIL,Dipl.-Ing.,Anna,Hoffmann,Gartenstraße,,58089,Hagen,Vorhalle,
HWziRCNBYXmRFmWliVCfYXDUg+mbkAaRwNwLKSg,xiYBIzKTnWt/UolIxTWkTT/KSYsOWimCphEUAXT,cqRWUmioTCHYRjhKXYN+PBgfFzATXSBgXXCTVQJ,jHlIxUhUZwMRTjMzcfnWujaKOQVnUaSxTuEyNLO,wIqO+uaZJYxJGY/RHKTYNcNFAjKBMXeUSGgd/Ci,4,DIRECT_MAIL,Dipl.-Ing.,Anna,Hoffmann,Gartenstraße,,58089,Hagen,Vorhalle,
InRaxovNIgqzTSsQwAK+mzXEBxkW/F+dCzCXSan,xiYBIzKTnWt/UolIxTWkTT/KSYsOWimCphEUAXT,cqRWUmioTCHYRjhKXYN+PBgfFzATXSBgXXCTVQJ,jHlIxUhUZwMRTjMzcfnWujaKOQVnUaSxTuEyNLO,wIqO+uaZJYxJGY/RHKTYNcNFAjKBMXeUSGgd/Ci,4,DIRECT_MAIL,Dipl.-Ing.,Anna,Hoffmann,Gartenstraße,,58089,Hagen,Vorhalle,
YRnkGQpISQ+LIaNwSSE+WfKLwCVfmRMzqZtgPmj,xiYBIzKTnWt/UolIxTWkTT/KSYsOWimCphEUAXT,cqRWUmioTCHYRjhKXYN+PBgfFzATXSBgXXCTVQJ,jHlIxUhUZwMRTjMzcfnWujaKOQVnUaSxTuEyNLO,wIqO+uaZJYxJGY/RHKTYNcNFAjKBMXeUSGgd/Ci,4,DIRECT_MAIL,Dipl.-Ing.,Anna,Hoffmann,Gartenstraße,,58089,Hagen,Vorhalle,
mGMpeSqXWpVxbQNNdakyBeJZiUTIdxRvKUzJHDZ,xiYBIzKTnWt/UolIxTWkTT/KSYsOWimCphEUAXT,cqRWUmioTCHYRjhKXYN+PBgfFzATXSBgXXCTVQJ,jHlIxUhUZwMRTjMzcfnWujaKOQVnUaSxTuEyNLO,wIqO+uaZJYxJGY/RHKTYNcNFAjKBMXeUSGgd/Ci,4,DIRECT_MAIL,Dipl.-Ing.,Anna,Hoffmann,Gartenstraße,,58089,Hagen,Vorhalle,
qTnUdFuUjCHyWPapzzeNjsjkUUrgrQZSMUoCVmG,xiYBIzKTnWt/UolIxTWkTT/KSYsOWimCphEUAXT,cqRWUmioTCHYRjhKXYN+PBgfFzATXSBgXXCTVQJ,jHlIxUhUZwMRTjMzcfnWujaKOQVnUaSxTuEyNLO,wIqO+uaZJYxJGY/RHKTYNcNFAjKBMXeUSGgd/Ci,4,DIRECT_MAIL,Dipl.-Ing.,Anna,Hoffmann,Gartenstraße,,58089,Hagen,Vorhalle,
vC/RLjmUWMNzEaVRlXQxlvHWrItsnfaKmaOhcY/,xiYBIzKTnWt/UolIxTWkTT/KSYsOWimCphEUAXT,cqRWUmioTCHYRjhKXYN+PBgfFzATXSBgXXCTVQJ,jHlIxUhUZwMRTjMzcfnWujaKOQVnUaSxTuEyNLO,wIqO+uaZJYxJGY/RHKTYNcNFAjKBMXeUSGgd/Ci,4,DIRECT_MAIL,Dipl.-Ing.,Anna,Hoffmann,Gartenstraße,,58089,Hagen,Vorhalle,
yXUcpULMbVNUXbW+kDSkGSysUJzVLagTNvsx+Ss,xiYBIzKTnWt/UolIxTWkTT/KSYsOWimCphEUAXT,cqRWUmioTCHYRjhKXYN+PBgfFzATXSBgXXCTVQJ,jHlIxUhUZwMRTjMzcfnWujaKOQVnUaSxTuEyNLO,wIqO+uaZJYxJGY/RHKTYNcNFAjKBMXeUSGgd/Ci,4,DIRECT_MAIL,Dipl.-Ing.,Anna,Hoffmann,Gartenstraße,,58089,Hagen,Vorhalle,
ISmGdrIfMWWshXDCxUyXVuatbSwoDZY+kVfRtZv,Raygx/YzGzZdRVaXjIexibSXdU+exYmrVYOguWS,lPsTQFs+wDORtUqyIriDpSTWTehUQqPLoUzzGhf,/jKpRZLfEVvV/ppcontBTtYQ+UNYVdsVSrleUWJ,XR+XLqzHRUDBKCZXoPgUSkjlzjsSvJ/dnzC/yMk,13,DIRECT_MAIL,Prof.,Peter,Schmidt,Schulstraße,,58089,Hagen,Vorhalle,
XVkygwLNWVYfpWppWUzXiVGKqoZpIVcQwVZiBPB,Raygx/YzGzZdRVaXjIexibSXdU+exYmrVYOguWS,lPsTQFs+wDORtUqyIriDpSTWTehUQqPLoUzzGhf,/jKpRZLfEVvV/ppcontBTtYQ+UNYVdsVSrleUWJ,XR+XLqzHRUDBKCZXoPgUSkjlzjsSvJ/dnzC/yMk,13,DIRECT_MAIL,Prof.,Peter,Schmidt,Schulstraße,,58089,Hagen,Vorhalle,
qrJKxdABStySObYyZHdTxLUaJmUcQfIdy+AsnXq,Raygx/YzGzZdRVaXjIexibSXdU+exYmrVYOguWS,lPsTQFs+wDORtUqyIriDpSTWTehUQqPLoUzzGhf,/jKpRZLfEVvV/ppcontBTtYQ+UNYVdsVSrleUWJ,XR+XLqzHRUDBKCZXoPgUSkjlzjsSvJ/dnzC/yMk,13,DIRECT_MAIL,Prof.,Peter,Schmidt,Schulstraße,,58089,Hagen,Vorhalle,
xTnJKL+XoNVu+JXOZCRXIYldDbJrxQMbNqoVMM+,Raygx/YzGzZdRVaXjIexibSXdU+exYmrVYOguWS,lPsTQFs+wDORtUqyIriDpSTWTehUQqPLoUzzGhf,/jKpRZLfEVvV/ppcontBTtYQ+UNYVdsVSrleUWJ,XR+XLqzHRUDBKCZXoPgUSkjlzjsSvJ/dnzC/yMk,13,DIRECT_MAIL,Prof.,Peter,Schmidt,Schulstraße,,58089,Hagen,Vorhalle,
VCqkpt/OosoGXXMVBwOBMNVydB/eZNTYWlVcREy,TnzRYwBWUjgvWRMQcjJXFuYuTB+sfXstPJESVwB,AiUMKETRTAgEsWELZETQSiQEStCFKKBgutsbUfT,'+ZjEtVCVRLuocVvWBbwhfaLIlSadBfoTLt/tHdG,GiEQzTXNJBuSZMXKQZOyTqXlwaCEUCSXlkPjBzV,14,DIRECT_MAIL,Frau,Maria,Schmidt,Dorfstraße,,58089,Hagen,Vorhalle,
egrSWXxZwYANXPTgMfRRJWwOYPDRpOw+cXJbWSY,TnzRYwBWUjgvWRMQcjJXFuYuTB+sfXstPJESVwB,AiUMKETRTAgEsWELZETQSiQEStCFKKBgutsbUfT,'+ZjEtVCVRLuocVvWBbwhfaLIlSadBfoTLt/tHdG,GiEQzTXNJBuSZMXKQZOyTqXlwaCEUCSXlkPjBzV,14,DIRECT_MAIL,Frau,Maria,Schmidt,Dorfstraße,,58089,Hagen,Vorhalle,
fhXNWdgb/HwKVZXjEPbtfSXVUXGHMsGLtZkdwxH,TnzRYwBWUjgvWRMQcjJXFuYuTB+sfXstPJESVwB,AiUMKETRTAgEsWELZETQSiQEStCFKKBgutsbUfT,'+ZjEtVCVRLuocVvWBbwhfaLIlSadBfoTLt/tHdG,GiEQzTXNJBuSZMXKQZOyTqXlwaCEUCSXlkPjBzV,14,DIRECT_MAIL,Frau,Maria,Schmidt,Dorfstraße,,58089,Hagen,Vorhalle,
yNszbcgsVsTCObBX+XJHDeSMVVBPXRSVObNKSJV,TnzRYwBWUjgvWRMQcjJXFuYuTB+sfXstPJESVwB,AiUMKETRTAgEsWELZETQSiQEStCFKKBgutsbUfT,'+ZjEtVCVRLuocVvWBbwhfaLIlSadBfoTLt/tHdG,GiEQzTXNJBuSZMXKQZOyTqXlwaCEUCSXlkPjBzV,14,DIRECT_MAIL,Frau,Maria,Schmidt,Dorfstraße,,58089,Hagen,Vorhalle,
XRahsSHbWrwHUTkwmUYVsidRjKjsBhmlnVvcNUE,RVJLta/TMYo/mKRLyHBXTQNbUKRgcstWPqYBTZV,fnjzdZkgfUsgKAbHkmcxRFOmPhMGrSkOZflPJMj,qkriJYUajwpLjpTfCcKOieBZlRex+WuQSHTIHnL,wNwpJSoxfQlVI+VKasYULbQpXOSbxxHnvXgslgE,62,DIRECT_MAIL,Dipl.-Ing.,Anna,Schulz,Marktplatz,,58809,Neuenrade,Neuenrade,
eCwkULjQVqnMK+DrFvxQWlCdvbvQUiSpQWIG+vc,RVJLta/TMYo/mKRLyHBXTQNbUKRgcstWPqYBTZV,fnjzdZkgfUsgKAbHkmcxRFOmPhMGrSkOZflPJMj,qkriJYUajwpLjpTfCcKOieBZlRex+WuQSHTIHnL,wNwpJSoxfQlVI+VKasYULbQpXOSbxxHnvXgslgE,62,DIRECT_MAIL,Dipl.-Ing.,Anna,Schulz,Marktplatz,,58809,Neuenrade,Neuenrade,
l/jqpxYaZgXyFcfRuWTJLuTokBXMRlWsoNQdeNC,RVJLta/TMYo/mKRLyHBXTQNbUKRgcstWPqYBTZV,fnjzdZkgfUsgKAbHkmcxRFOmPhMGrSkOZflPJMj,qkriJYUajwpLjpTfCcKOieBZlRex+WuQSHTIHnL,wNwpJSoxfQlVI+VKasYULbQpXOSbxxHnvXgslgE,62,DIRECT_MAIL,Dipl.-Ing.,Anna,Schulz,Marktplatz,,58809,Neuenrade,Neuenrade,
