"""Meter Reading (MR) Doc. No.""",HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,FORENAME,SURNAME,STREET,STREETNO,POSTCODE1,CITY1,CITY2,EMAIL
nTNYVaoCTflXXjuTzuUjbWaFXnQDuHWNsCXCWCr,uoD/FihPQZaUUCleQYttIOwBReYWDUwOVZFgFCF,dSLZlrCIxCsYn+LwVDCxXXjEI/SRrAeQZWKnpdv,UEcw/ETOLWVRsnVAbSBaUZbWZVDtBIZTeUfVSpb,kjeUFfzKJDzTntvszlAQvfNwAjxY/RQ/WX/FZT/,23,EVU,Herr,Anna,Schneider,Waldweg,3b,58809,Neuenrade,Neuenrade,anna.schneider@example.com
WMRCVIYWuhCFuPmUAEJPUQcsuAbsVlUndregHAq,TISKkU+/IvWMIwPKQ+gRNyjZYSopTJuIGLvfSPR,sHCYaAUBeMQHzXZmZvEdiVxTRgjw/dgYBvTSZjs,ZRUQSuQsUhRVDXvSLgtNTzXbFuvgFZFauhuhIEW,CooTRhwVSQEpdvTYSOPBfMXpMqXOFlqQmOkcZuQ,31,KSA,Herr,Petra,Schulz,Dorfstraße,30,58553,Halver,Halver,petra.schulz@example.com
GkMPjSWXRZDnweiRDUiXQIiHLirxXcFAkUIZrVG,pZCZAscJYCCDstjFsCnleTtfyZpVztKgEdnVSPj,YeGWnPPgmLCmqYc+XvXnfdwQkRePjnSVmMibxnp,QRHJuRrOoSjVQXgXZSfPsXZZbjiBRJbkExbZeBe,moTMIOACRopg/YgaduVTyroFUYRDWVRASrRChsr,36,EVU,Frau,Klaus,Müller,Gartenstraße,1,58809,Neuenrade,Neuenrade,klaus.müller@example.com
Zp+mQIEoXZWkkWTOtcRZtXiPAiGFEkTePjPdSPx,oOZRZxXlSZiDxsdjqcxsZYKmZSrewpQYSCMyFTy,MKDAUbJTNpVgnOGXUDRHgkihvGzuMCsRSAZsTeQ,NHolZprQn+rGaQHKVzyQxnFlWRDwELXLMOPsDvf,oYYZKZFUNSQItDJUZtBcSmttMDucwInXaWY+Hrk,2,EVU,Frau,Maria,Schmidt,Dorfstraße,50,58553,Halver,Halver,maria.schmidt@example.com
cmNSRaVrMfxRWzTuNRRnLYInKQqUvnCxSedWADI,mNI+vDKpBQBOpIIBVWHDkLZQomvXYTrJSexnMZk,RKgLOAAoiRKzAWYvvFXflwxQMWZSwB+xgpVoMiR,tcvSZOdLc+fcVxNqoikKCtNVndS+kxwhlBduBkZ,JZDYryrRhAhmDYRwmvr/bsQhMqTYuEhTRVUHZTM,3,EVU,Prof.,Anna,Müller,Lindenallee,2,58762,Altena,Altena,anna.müller@example.com
LXgBKyUeI/wOwThVCOnuekwXethyMU+XnYYRryF,X+jGcYGSrfsAofxUfcMPXKILnECVAjYONVzWNub,thdtdDADtJS+SLNumRgrpOlvjMoD+TQjSxdZdmh,JcuEYjkaUCKxlgCaWBtOeWQ+yXTYDabNFpXUkIZ,kswDVDkqxZq+KxDlVCAZVVZkmfayrVJhWVtvXXC,28,EVU,Dr.,Hans,Hoffmann,Gartenstraße,10,58809,Neuenrade,Neuenrade,hans.hoffmann@example.com
yNZDBPGJfQqMsneUboF/QQxAYpiwZjTZYZYqGxu,DTXhUZTerrwztYATQjDSIrcDqYVnPvDNtSZVlYG,YKQYwbSR+Hfb/QgUmRksyJSpcgooKUgQoWTNFqj,QRJgOXLTmMZJbZpSwoAq/kuhlSITLXWpdOoexDn,AoTkbGKwthUIF+OMLbazgVlIKvkmXULkXVaicpC,7,KSA,Dipl.-Ing.,Petra,Becker,Waldweg,20,58809,Neuenrade,Neuenrade,petra.becker@example.com
WYwrmGsmeUZtFmfIYXzgQhJYrWgNte/OvfWzRrM,ZqSb+a/peWwbJgUSYYeDBhMLCPnTXStUmAZlJus,HdYWQRnUEmGwUXrDtSWWzcOj/RCBsaIMUOuTQTu,WUixTDROOvUwWGSADmeUqwNicQvWQkxnQaoopDH,NvOwVyLWaypvSgDJXbQsXx/ZItRBUq+naIvJLkE,81,EVU,Frau,Peter,Fischer,Lindenallee,10,58553,Halver,Halver,peter.fischer@example.com
JyUWbhZZV+groTSKjYbYmRTNyjoxhVuufVrGcWR,kKXSoBPDBgZQMWENQDYnAgYupcukWRhZqoOQrZR,WQQNRVCdUGKotWzGxcY+YYbOcbJYZrWIUXgZWhX,oUSUHwkDDhuJvpLIcWjupNMIHVkYCbbAbKVThJr,ZVblytylZJl+UZShMlXffjqWsQQlrpKYnIPN/oY,1,KSA,Dr.,Petra,Müller,Lindenallee,50,58762,Altena,Altena,petra.müller@example.com
TOMoMJkIhfKwXGeSDthZnVpVoiYSXQRhrHlLHTo,WZjJ/gqctPmDj/XotEWUwhcqkHJxLWaquzpNyGw,btea/GDSvbQMRTWgRtWoCPZeFxfXXqwArlYXdbi,XsTYJSWVUHwOZFRsniNRaiZeSnJDXllX/QxhSlv,ylmKAWuqfSeCZIJSAxmuIsUawzYhRueMTaWXzWI,23,EVU,Dipl.-Ing.,Michael,Weber,Dorfstraße,2,58809,Neuenrade,Neuenrade,michael.weber@example.com
qrdWwhcTZgYGrpcaQiiFYXsgP+VKZRqRVNVtAnM,AnrTWrgpsdOVWCVweKXmlTOBUClmUROFEWDoAsS,UurJWFhFLgVeWcoSSGeLPXKgzuZTZHPXVNPbrWF,gMSBxIZLPMWZpDVFvOqWSeT+JDoDECFSg/h+Ble,AyqSCdYpYeZfNgTHcfUxPntQSDbqmCkxzTdCaZz,3,KSA,Dipl.-Ing.,Petra,Becker,Bergstraße,25,58809,Neuenrade,Neuenrade,petra.becker@example.com
qAAJcvoVTWksQBYXDkwyVMNRAYVqVFYrTZWkWtR,kZCYmKPAYSWUAXjVXYYEQUQQpal+GalVmy/ffYk,/j/sySkZlJrUhHALOoyvBiqWyxTmUvnFPraoXUS,qlKCcOJUHYTEEVYdPWqcYDYBZWKUUxmU+oaTaMp,WPUSQJNqERipFbIWpZXmnCFFbYKQjYNcLZXqdzZ,26,EVU,Prof.,Petra,Meyer,Bahnhofstraße,20,58809,Neuenrade,Neuenrade,petra.meyer@example.com
bRtYYMyLcbIYAlfzkBVe//IWOTJmVSuydBwnGOy,/WDtZUkWCJNQTsTQWRbqSjNrdbSVvSSVxJSQVLI,UnbTTyLTSXqCYZmXnXNTzWZYKhGISawSyHEQKpn,p+bugC+jPuhMQmoHZYcPZMDuLWUNnEWviZYDCLD,/iKzcSrVQpEpzRYCR+bfkynRfEODQTGTCrQWkXa,66,KSA,Prof.,Klaus,Hoffmann,Schulstraße,1,58553,Halver,Halver,klaus.hoffmann@example.com
vieeWsTRUWNwpUDctXdMldilcVqLyOv/abKaYZX,ptTVuILVoeeWVSxRQeHUUuGUSUYrFZVraYKjJOy,HXecQVWNWnTVOIKgyIYjWvoZQlDoXLxFqTf+dTv,IWZVnyTQwYSZQ+DaFRpSOWMOKyY/ye+OHKSxjxu,JHVtLFEClCSY/i/YQlKGvWNHMVFFY/cWqAcpRQc,8,KSA,Frau,Sabine,Fischer,Waldweg,42,58809,Neuenrade,Neuenrade,sabine.fischer@example.com
mLgYTiFqZzRWdcq/DmXF+LXErPFPkzMhIZt+DVO,mgQSuDTWgBojEf+SQmnhtkVYYWgcbaKSRVQScXA,Jog/mifPVmNznZZtQZsHGXTgkZQVLmrPItbirdY,CedeRYqQXNUHKBgC+P/rQVKKYEIhqeMAfFVvxEB,ksmtSThqPXYGTpAIcfAvFyPIPxdILlVS/YXbSAd,6,EVU,Prof.,Maria,Becker,Bergstraße,10,58553,Halver,Halver,maria.becker@example.com
yQpWVxmYELdkoQregDwPAGUNNVIT+RWmdgDIeOE,q+rKLTGfuUsdyMAesfwWMgRu/ZKsWaQVsGhLNDE,RmANxnnZkVmBkAxNfJNGyTuhChtxzKNQwVMy+EM,jILYFVtTmnBXltWiRbQQGhxvYQIYcFkaqSpfiSC,JHDayUjSOkfMYWpUFBdmitQckdhjuVgIYOXlZTE,3,EVU,Herr,Hans,Müller,Gartenstraße,2,58809,Neuenrade,Neuenrade,hans.müller@example.com
HVNVn+XbqNQiAZsOhUItwLeQVdHUxtMZcTEmOZW,euYmzAPuKwRplCSzqfaPTtWsamWjkrRiGxQzhxV,YtThuhiDADzhvBaXLYOSkiQJgLiYZMLpWQwQrCr,kvSUQXIXWiOXiXCceEfpehLBoSFQvKtvXawhRvV,eLwAiiLwUUZVZAvBWSJSLqlbNeLuUXdJ+cSKmgU,26,EVU,Dipl.-Ing.,Hans,Weber,Schulstraße,30,58762,Altena,Altena,hans.weber@example.com
smFOrnMFPmGnMHWfyxmUbHiPaQoVXnQXnZQcTxk,ECzLHMorXVcAYRnWDKdfPo/uBaxBLkeU+YqLSBl,lfjJFzDHxZfjJMRZLRt+UoXTOrdCKWLlxWxlcGZ,LTaERRqItfMVBGhzU+fpmTdXqAtuRwT/EkDGvGm,VKtZqZSSzZh/wDJvEyUdyIvJYFs+ZBVcfBmVNQS,48,KSA,Dipl.-Ing.,Anna,Becker,Marktplatz,25,58762,Altena,Altena,anna.becker@example.com
ZYW/oKRSREUugCSATBIXHpZOmiKUGR+EQSiSirF,fNe/RIhzQ+igjZfIhDZtVLGQCMjbMZc+kmQUUzT,ccUcxRpAqDfuqVZlZxYbTUDuYVQxqPILRisWFBU,ORQNLgQzMYXpFdGj/b+BmtZBMWRc+EIoZ+URdSx,/PaWqBzIUzLe/ikCIUfVoShKYVbDJg+lSwsBOeW,11,KSA,Dipl.-Ing.,Hans,Fischer,Bergstraße,15,58553,Halver,Halver,hans.fischer@example.com
CrVOOiYPURSyllXQNONaOCWCjNBSMjMmo/RofSN,bKLeYnSqAvcltRUJrWTTV/IZSY/LzMoqORYjCck,azKHaUPEWRGkbyGX/XJwPXRZd+mRDaZw/vxXogU,GIZZjHgZuRRrtQGzTmZVgWUIGRx/qBKFRtOWiHs,SSSIwigYHCWKZmpcYvrUXIXA+PTfWRKUwQUXSOI,8,KSA,Herr,Julia,Schmidt,Hauptstraße,50,58553,Halver,Halver,julia.schmidt@example.com
bnplQDNpWFmYTguoDyjWrVwOkRQmNXswVrNVmRn,DphRDWaIofhFTAOPZUzVYdwNXxRsUfnvsoDXiZE,TasVJJZtBopIDlTmPhvwirRAoVFlpqNx/eJgbxw,YkOmhUzUMTSgSaYxcEmjmYrdQzUQijKmX+nZM/S,sB+siWVYhSlKUciWyTJFpFSWwDTxZpY/eHacPTP,73,KSA,Dipl.-Ing.,Julia,Weber,Gartenstraße,10,58809,Neuenrade,Neuenrade,julia.weber@example.com
hNAWDIhWJqURNhaAt+ZnUuQQjV+xVRJQx/qZEmE,kAkJbOTYYXBJxTQSSAuQswyVxRvTXMGqMnEIfMX,eVmhTOKJruQt+GL/kxktYuoYXSKvEgtQXdNcQTB,fCDxa+eU/SNEumVZMZYCjhVLIsmWzUCLgK+MSzh,WwqJTWYVpRFIANgepgMCSMziZkQGjZLHpvSUBQE,22,KSA,Dr.,Anna,Weber,Waldweg,50,58809,Neuenrade,Neuenrade,anna.weber@example.com
wsQ/rvoSMUUtTaBGetyiyRlNnTV/WWSRdUl+/WV,EgGAMDCpXfACygFWvobWSoxPyWMoDvUlCZYMuqZ,yxUcqFuOCyREIgSjOfIsosZTZtXXZehcMkUxWdD,ZApVdpcADkTUQ+vnRpegSsQDqaWalxVQvvDDjUE,gpJRckYUkzNxAOZVyXkttNPVFsrRrMpUuPVJvVr,31,EVU,Frau,Julia,Schneider,Marktplatz,50,58809,Neuenrade,Neuenrade,julia.schneider@example.com
VbDX+tUlxOQCV/D/zswsPsUuOguYBbHjcxhJLpa,ZCRKxeodPArgmyjmYfEeownHPvSDoQby/IgseXf,r/VXEbBBQYZRVTilTsnikIATdBAbkXPCftRU+kY,unGeUT/NeXN+EWvwRUASUdSXwLNZZMdxaGQwigA,XqxiMhJnxXQTWrIaXVSGRGHrIXOkTqOXhG+TTFr,19,EVU,Dipl.-Ing.,Michael,Wagner,Schulstraße,2,58809,Neuenrade,Neuenrade,michael.wagner@example.com
yXGSZPRSpWMUZbMzhmEftDyYZXgVwZSIzX/+CTU,fqCXoRHXjpNkWxQNLiiaFiQwzDMLDbYuXXbLVHe,DBTjA/YSgWNyhBwDVOZRBjLnCTZ+tOiRazYWFjG,qlTguakRVTLkYHnvk/Jf/eERsrsTnpfVmEYDuGV,hhWjYN+mPKVVPbLwxSRMyIQtWJhsV+McjISqTXc,22,KSA,Herr,Maria,Becker,Dorfstraße,5,58809,Neuenrade,Neuenrade,maria.becker@example.com
BZgZIYXyUyIQYitzNTPSKX/GmBBGixAsTgHqwkQ,UrKSZoxWQzYgqeLlYLitCrWEDAyfSsFWAaTURUA,ZvjZJTF/fQHQmUDzVF/CjGZfFmDHhWiZJqXLITn,SwVYdsVWIgAbnHAVrBtyusSZXGauUxObNTSFdjj,EpAShStYkBKSvthnmjYVSUspWnuWuKiwRJyHcuj,8,EVU,Dipl.-Ing.,Julia,Weber,Schulstraße,15,58553,Halver,Halver,julia.weber@example.com
uUTQpYarZ+ScHXL/Q+xfBEBWxyFHRMcZkWTKRT+,foVQuXiXYTfKbAEPZDmaRHPULXuCySEMkt/ACnW,jfXOnNMevwGYusmSByMgKAZBXhBaURVjZzXnoIm,VYWXYQQiVtrixY+RDYKtXwFSLTuzWUEXYfQtvOj,QsTVrXCaZVZYFaWhTZTtUbKbkfaFRwDQVuEYO+j,28,KSA,Frau,Peter,Fischer,Waldweg,30,58809,Neuenrade,Neuenrade,peter.fischer@example.com
VwCjvHVWTthHjY+QeSE/YzUFccSbUnfdFSIPVSS,ggejbrpMiZcYydpTslUUmTBrIYVgZMefLISVmB+,ynINERarVwRYumYmVeGFqUCWCxEwZEysNbratUk,HtkMNMzJYlUIwUGQPQZrSWRWIZSYzIgQH+GWguW,UDRYhSPZWRJ+WMkBlKGRdSQXaG/vmWgEIIOiUDa,1,EVU,Dipl.-Ing.,Thomas,Schmidt,Marktplatz,15,58553,Halver,Halver,thomas.schmidt@example.com
HYYVarfA+SDkgRyWIBWLTTZCAYmIFyyNKpXAAuO,eQ+LkCO/XpeMPTUSarOWvsjXUSBQGnkNEvSasdw,sVfuLHRB+SWiWzZeWUdVFNZtRvTzUrZKjPGORvg,SddRdxXCJEAkGZewHJkxVZSWXKZrZzQAgBATICV,SHHmJiUkJJzYDLuKKVQOQGWQTTlmPn/UeTLIvzz,2,EVU,Prof.,Julia,Hoffmann,Marktplatz,20,58762,Altena,Altena,julia.hoffmann@example.com
BXyhqASTMHvSpgFZUUW+IMfVbXNtaIcURtTupbG,SFtQQjeNePBbZepmCANPCYaXjyctSQXVrn/QGkb,EvQcqggRXVWHkwC+DeBKboHUvSTEvoZaCSrnRfm,WiJtgvUxuogtSlZ/kIwDVzlKEDzZf+BSZRMZPoT,JGMsXovoYm+BFQHVtVjiuVZajSLvivQfSdXXybX,17,KSA,Dr.,Petra,Schulz,Kirchweg,2,58553,Halver,Halver,petra.schulz@example.com
kzSBoRvFKCNtqrvmV/ZEReOsSQAVsftggEzFboK,VFQXjtV/txqpycmyBKRHFmBkLP/h+gKWRdUKgQB,fHZLlxkiWOJVPYankUeQeHzNSSYcwIGyeftjuaY,rSHnpUWQWjnmngkEuCsu+zcJQxrKWZl+R/IYwsP,KEAHwPTGPWTQTdIRccZUzQfwf+EBqumbQiwkbxD,37,KSA,Prof.,Petra,Meyer,Dorfstraße,20,58762,Altena,Altena,petra.meyer@example.com
NFNyWYpluwyajhZTfpBTLLSSyhcYKVIsHmHAhiR,eRAkYAiIwnaPFMVRjZRZMVeIRkBWkEe+LSRZJWC,sIPcYxdvBkpXCgjanVEoSU+ybbgHTzRtZig+m/N,gMvXWzUNCzSrXaVIQwIIfNJTzYZkrTUQUI/iZUS,I+FDdBdOaiLIrVrrXnZDgQcUtddvvEUBoWzcJSU,18,KSA,Dr.,Maria,Müller,Bergstraße,15,58553,Halver,Halver,maria.müller@example.com
/meOHkQRDWoVXseoYSyRNekaRFWLjQz/LtJFykX,BkkPEvgGtWSRfUCwrZcRwWfaPBrPeCRHwUnD+f+,bmLNiWwxQxGVlmmooYXFClMrvQ+TcTXVWHCUVza,oUYwwZQe/FUcrRTWBaWjRNpwaDBdMGoRdaPqbqA,KLMiUZQGNWZYtXDCQIrRGYMvFQYKQURrHNUVLSk,30,EVU,Dipl.-Ing.,Michael,Hoffmann,Waldweg,12c,58809,Neuenrade,Neuenrade,michael.hoffmann@example.com
vYlBIEs+ZAppRBUsoEh/iMRgqMbXLQbxeUGXBku,ThQbtlP/D+wIVUCGWexEUlJvkIDUROiZuyMllQZ,rkVTwQRcvSQHTMTxifSgHJgNCgrAYuToRZMQKpL,zVxhVNAPZvQEnRtZSNALuhXmJsVrtEnZYUmkJVU,ILOeDPMEcRASGxcZiLqkZHbSmpXvyLfAkRZLn+Y,7,EVU,Herr,Thomas,Hoffmann,Waldweg,50,58553,Halver,Halver,thomas.hoffmann@example.com
ZTlUoTNgcQYHbgOuKbsMrxGuddEpmQbYUhKvVI+,qUmZdNOXxERpt/yGUXwLqIvnnaDHef+rSRiIWqT,mcbGVvYULMs+WyYaNzXxlCHbWLTRBwRQTyOQtgF,VOvnvXUFIfiyDYKutVm/yoBnlyTTazRKPBSlGz+,OleGPZZVSeUkVFfgVXStDsVmZBRnrdVbHentaqa,31,EVU,Herr,Hans,Fischer,Bahnhofstraße,2,58809,Neuenrade,Neuenrade,hans.fischer@example.com
SWVJHCONqWeYYFhRxVuVAUWE/vwVevsrltQoTaO,cpPTsXsUaRrVvSDVXyDVVYWdJRVQtEYrxgtztWn,/bFaCQTUWYQXTCl/cUwtcodhSfkVdVJzREmPeBr,JCWnnYlsmWgcK/PzcTrRThDuIZZYFXS/UTkZaAR,cAodXVCXbSOBYSVXYkyhSxVLmZxrhWTjuQqXgtL,9,EVU,Frau,Thomas,Wagner,Bahnhofstraße,3b,58762,Altena,Altena,thomas.wagner@example.com
pVuDdYRWSpXQh+lrBWnr/KYS/sNfTNXjXJgaqBX,iyKfOETXUnpTQNGejIVmdVsYRqIXemT/KiBvvYx,xVSorYBwZSRFT/QSweJETtSJiIgVhWyQPGpcVTH,cIkQWzSJZUdyBUiNhWWWPODaSWFUiBRHOYtIuXz,Zuf/NLwqOXUzUXTFUs/XVJOVfbE/YvxZ+DvlUqM,5,KSA,Herr,Peter,Müller,Kirchweg,15,58762,Altena,Altena,peter.müller@example.com
