Meter Reading (MR) Doc. No.,HAUS,ANLAGE,ME_MA_ID,EQUNR,HOUSE_NUM1,ENTSCHEIDUNG,TITLE,FORENAME,SURNAME,STREET,STREETNO,POST_CODE1,CITY1,CITY2,EMAIL
xRSmtslFQRmhDVxXtLbWwRPGiVWnOyfNgZLbVZU,xJkDcCtdIXNXuMYOakAGBXsRiqMBjjzil/gTjaj,PjUUpVGUVYVkAbRf+NWZSgGFBdRfVzWYUTUFbdU,lWjZGtWSyliAszzUoNRltwWWQMQyubKZYzoQLYA,OOHZS+ZGBNkXFsmExdQhvmNhNLssVBHHRcutjor,14,EVU,Frau,Julia,Schmidt,Marktplatz,3b,58809,Neuenrade,Neuenrade,julia.schmidt@example.com
Fj/ukiVIPRcZHP+SXoFUymkuMuTuRSnIHVvjxeW,KMWvJXEDyxLzhbUZGqcutkiZanNUKaissbe/JOX,RBWcYEWtTEQPwmVIDvxhjd/zcAucp/WZvjsRHCU,qIev/VYtrpXtikhXV+IuPQRXxsCQYbdxRLxJkk+,mDtYGgGXSx/VEfzWSDWXOfZidgVzuJrh/NuwhsS,33,KSA,Dipl.-Ing.,Sabine,Müller,Bahnhofstraße,,58762,Altena,Altena,
HZdHITzJYUNBVnsunMjLV+WRvNSVuFbZbPJFfbL,KMWvJXEDyxLzhbUZGqcutkiZanNUKaissbe/JOX,RBWcYEWtTEQPwmVIDvxhjd/zcAucp/WZvjsRHCU,qIev/VYtrpXtikhXV+IuPQRXxsCQYbdxRLxJkk+,mDtYGgGXSx/VEfzWSDWXOfZidgVzuJrh/NuwhsS,33,KSA,Dipl.-Ing.,Sabine,Müller,Bahnhofstraße,,58762,Altena,Altena,
uxDPiIU+QnptodSbWTmQTJcnRZTrobfpZnKsBTC,KMWvJXEDyxLzhbUZGqcutkiZanNUKaissbe/JOX,RBWcYEWtTEQPwmVIDvxhjd/zcAucp/WZvjsRHCU,qIev/VYtrpXtikhXV+IuPQRXxsCQYbdxRLxJkk+,mDtYGgGXSx/VEfzWSDWXOfZidgVzuJrh/NuwhsS,33,KSA,Dipl.-Ing.,Sabine,Müller,Bahnhofstraße,,58762,Altena,Altena,
vtZzlnwuuBahJMYOuRzvbjXSbmhFXlpZoYHSaYX,KMWvJXEDyxLzhbUZGqcutkiZanNUKaissbe/JOX,RBWcYEWtTEQPwmVIDvxhjd/zcAucp/WZvjsRHCU,qIev/VYtrpXtikhXV+IuPQRXxsCQYbdxRLxJkk+,mDtYGgGXSx/VEfzWSDWXOfZidgVzuJrh/NuwhsS,33,KSA,Dipl.-Ing.,Sabine,Müller,Bahnhofstraße,,58762,Altena,Altena,
KR+AITZToXFZNgZSjYStVpVaZZfOMSzXCWahblW,X/MSvNIQdfnSxO+nQKZQpOUObqIKT+xYKVUtCcR,jkLrTUzAnwmVRSUkYaS+RQYzlVcgrdsWhZooYmf,MYpqXJWYdTcZAYXXj+SwvN+GsdsKgLlzIEgIVRm,RBZJFIUgLFyViUrhoN+BXZUXSZzoxvyNTASIUqE,19,EVU,Prof.,Klaus,Schneider,Kirchweg,,58089,Hagen,Vorhalle,
ZwhdgYQQrmUVRUxBBISmCnIWFUZqayZIMqFRL/i,X/MSvNIQdfnSxO+nQKZQpOUObqIKT+xYKVUtCcR,jkLrTUzAnwmVRSUkYaS+RQYzlVcgrdsWhZooYmf,MYpqXJWYdTcZAYXXj+SwvN+GsdsKgLlzIEgIVRm,RBZJFIUgLFyViUrhoN+BXZUXSZzoxvyNTASIUqE,19,EVU,Prof.,Klaus,Schneider,Kirchweg,,58089,Hagen,Vorhalle,
MZMsSLvWitOQ/kZb+xTqHmgBPTXMfaDEQhCkgFn,ThWKRHLOfVVHzVghbVTpRQWETsoLwnpUtAsuSbG,ShzuLXCHKzxPWv+TQCAogmTlgvpXoXgrMUdVpup,dR/XnPLSQeVIlttJaDaSpYVFzLtBapMTKNLFMdf,DSQHvgIUhmZnQMS+VVp/IQgXRlvMWOBStPphzhL,22,EVU,Frau,Peter,Meyer,Marktplatz,,58089,Hagen,Vorhalle,
UHjOUicPZaj++JQHQWl+uquu+htnshRogNqbgYM,ThWKRHLOfVVHzVghbVTpRQWETsoLwnpUtAsuSbG,ShzuLXCHKzxPWv+TQCAogmTlgvpXoXgrMUdVpup,dR/XnPLSQeVIlttJaDaSpYVFzLtBapMTKNLFMdf,DSQHvgIUhmZnQMS+VVp/IQgXRlvMWOBStPphzhL,22,EVU,Frau,Peter,Meyer,Marktplatz,,58089,Hagen,Vorhalle,
UaQAVWAEeCwLYXNUEcIxCWVpyxlVTxCARAdsiFW,ThWKRHLOfVVHzVghbVTpRQWETsoLwnpUtAsuSbG,ShzuLXCHKzxPWv+TQCAogmTlgvpXoXgrMUdVpup,dR/XnPLSQeVIlttJaDaSpYVFzLtBapMTKNLFMdf,DSQHvgIUhmZnQMS+VVp/IQgXRlvMWOBStPphzhL,22,EVU,Frau,Peter,Meyer,Marktplatz,,58089,Hagen,Vorhalle,
bXZduyjyBQiedsjXwKsnzRQACZmIvesKIGGWKTb,ThWKRHLOfVVHzVghbVTpRQWETsoLwnpUtAsuSbG,ShzuLXCHKzxPWv+TQCAogmTlgvpXoXgrMUdVpup,dR/XnPLSQeVIlttJaDaSpYVFzLtBapMTKNLFMdf,DSQHvgIUhmZnQMS+VVp/IQgXRlvMWOBStPphzhL,22,EVU,Frau,Peter,Meyer,Marktplatz,,58089,Hagen,Vorhalle,
HujjjREWc+LCWBjzenYIZhFWUquZJHjviuiRjXG,WBatRVEECsWmUeoqHfgzvRyKs/VTlWTkURZSVUZ,fZPXXfDYN/PodEIUqPhtQyrfhzhhyRZM+dNOTTP,kRUzyYtoXKxWozRCnEtRtVBxRyRUBbrbTADWsdT,peqXlZUXvfsUJNETEKEvFcRyRIePkSPkLsKqhYH,79,KSA,Prof.,Julia,Fischer,Waldweg,,58553,Halver,Halver,
NW+rq+RdxZRZAHBQAfEmUtmglSUlnbWOPEYwqmj,WBatRVEECsWmUeoqHfgzvRyKs/VTlWTkURZSVUZ,fZPXXfDYN/PodEIUqPhtQyrfhzhhyRZM+dNOTTP,kRUzyYtoXKxWozRCnEtRtVBxRyRUBbrbTADWsdT,peqXlZUXvfsUJNETEKEvFcRyRIePkSPkLsKqhYH,79,KSA,Prof.,Julia,Fischer,Waldweg,,58553,Halver,Halver,
ZBcFkSsgnRLXSpNylnvQSOYVbxAhXCkLuQvpTjv,WBatRVEECsWmUeoqHfgzvRyKs/VTlWTkURZSVUZ,fZPXXfDYN/PodEIUqPhtQyrfhzhhyRZM+dNOTTP,kRUzyYtoXKxWozRCnEtRtVBxRyRUBbrbTADWsdT,peqXlZUXvfsUJNETEKEvFcRyRIePkSPkLsKqhYH,79,KSA,Prof.,Julia,Fischer,Waldweg,,58553,Halver,Halver,
ZXDbULVPrDFOjZyTqlAFyTTTBQcyYDYJgTBTYzV,WBatRVEECsWmUeoqHfgzvRyKs/VTlWTkURZSVUZ,fZPXXfDYN/PodEIUqPhtQyrfhzhhyRZM+dNOTTP,kRUzyYtoXKxWozRCnEtRtVBxRyRUBbrbTADWsdT,peqXlZUXvfsUJNETEKEvFcRyRIePkSPkLsKqhYH,79,KSA,Prof.,Julia,Fischer,Waldweg,,58553,Halver,Halver,
/UXhgxmZBWhZdMWUXYqpOuwgcdWQYnnaeJZcnvf,wnwgQDKRVTwuZHREvTzWsQhZQdZIIRbQolkCpHY,ugUQZXyniURqlDMDqFLbiEtHiV/OQoYzxuYTeEA,YjtdVpdGc/WOZTYVtVnmWQRdAfVdXrXLJZTQLhQ,KjKTVWcwfZqpfVMTYqSTdvZbVmYCicRTFuzCNPW,50,KSA,Prof.,Petra,Schmidt,Waldweg,,58089,Hagen,Vorhalle,
VRcCCYKsUTlYFnXZXHeVYtWtWyZWXBWIBEWdWLQ,wnwgQDKRVTwuZHREvTzWsQhZQdZIIRbQolkCpHY,ugUQZXyniURqlDMDqFLbiEtHiV/OQoYzxuYTeEA,YjtdVpdGc/WOZTYVtVnmWQRdAfVdXrXLJZTQLhQ,KjKTVWcwfZqpfVMTYqSTdvZbVmYCicRTFuzCNPW,50,KSA,Prof.,Petra,Schmidt,Waldweg,,58089,Hagen,Vorhalle,
mZglFXZHOZWFRhcUIFQNafJVVYaQguTKSW/KThT,wnwgQDKRVTwuZHREvTzWsQhZQdZIIRbQolkCpHY,ugUQZXyniURqlDMDqFLbiEtHiV/OQoYzxuYTeEA,YjtdVpdGc/WOZTYVtVnmWQRdAfVdXrXLJZTQLhQ,KjKTVWcwfZqpfVMTYqSTdvZbVmYCicRTFuzCNPW,50,KSA,Prof.,Petra,Schmidt,Waldweg,,58089,Hagen,Vorhalle,
rdSrt/IPSwSRRcXjSSRWosQhlFQFZXvOLpIByYR,wnwgQDKRVTwuZHREvTzWsQhZQdZIIRbQolkCpHY,ugUQZXyniURqlDMDqFLbiEtHiV/OQoYzxuYTeEA,YjtdVpdGc/WOZTYVtVnmWQRdAfVdXrXLJZTQLhQ,KjKTVWcwfZqpfVMTYqSTdvZbVmYCicRTFuzCNPW,50,KSA,Prof.,Petra,Schmidt,Waldweg,,58089,Hagen,Vorhalle,
/kBgeBOnuuxfUXaxgmBNE/vdTiSEYBKqKSPXHBd,oDViaOfrarAe/UIvbrVjUGRavfAYPupNCvFpYUK,WpQPioQsmSGhhs/TVagY/RXGgTBaZHJlQHICSmT,eW+WtXT/taUzkqasUenZKBYliZlKSPVISwBRXeB,q/kjEwCiMDYprEXLkpVmdReEoRYsjjRlhaafPhp,24,EVU,Dipl.-Ing.,Hans,Wagner,Schulstraße,,58089,Hagen,Vorhalle,
VkseSEICXdMvjwQQWeKdqWeXPuctoXluNINZYGR,XBmWx+UhrqQVGSgLiMmiacPufUWBlvbgtZXoVxS,HiTQpLhyQkDZv+TiXtqvJmyptHBIPHZwwUubZa/,tBvzCxGHfueQYXH+BkwcZBiwmmbGJUHlhYSv+TQ,XTRiQiTLoGSXTqERDHOTXkkPfZrumKHTTqQdrWC,23,EVU,Frau,Thomas,Becker,Bahnhofstraße,25,58089,Hagen,Vorhalle,thomas.becker@example.com
VsAUadmVGBUZTUvLeZXYPWOpRINoWipW+ojXdCb,XBmWx+UhrqQVGSgLiMmiacPufUWBlvbgtZXoVxS,HiTQpLhyQkDZv+TiXtqvJmyptHBIPHZwwUubZa/,tBvzCxGHfueQYXH+BkwcZBiwmmbGJUHlhYSv+TQ,XTRiQiTLoGSXTqERDHOTXkkPfZrumKHTTqQdrWC,23,EVU,Frau,Thomas,Becker,Bahnhofstraße,25,58089,Hagen,Vorhalle,thomas.becker@example.com
YYStodiDYcYBZfVJFjGQImTGuGLY+MUQRGRxlaB,XBmWx+UhrqQVGSgLiMmiacPufUWBlvbgtZXoVxS,HiTQpLhyQkDZv+TiXtqvJmyptHBIPHZwwUubZa/,tBvzCxGHfueQYXH+BkwcZBiwmmbGJUHlhYSv+TQ,XTRiQiTLoGSXTqERDHOTXkkPfZrumKHTTqQdrWC,23,EVU,Frau,Thomas,Becker,Bahnhofstraße,25,58089,Hagen,Vorhalle,thomas.becker@example.com
p+aCvqTBsHoVJTSgjcStrOUxxuRpgUDnQPSZpvN,XBmWx+UhrqQVGSgLiMmiacPufUWBlvbgtZXoVxS,HiTQpLhyQkDZv+TiXtqvJmyptHBIPHZwwUubZa/,tBvzCxGHfueQYXH+BkwcZBiwmmbGJUHlhYSv+TQ,XTRiQiTLoGSXTqERDHOTXkkPfZrumKHTTqQdrWC,23,EVU,Frau,Thomas,Becker,Bahnhofstraße,25,58089,Hagen,Vorhalle,thomas.becker@example.com
slyEDYSaGdQZwtrQYWtXKwJHzVYds/lrQEOUpTN,XBmWx+UhrqQVGSgLiMmiacPufUWBlvbgtZXoVxS,HiTQpLhyQkDZv+TiXtqvJmyptHBIPHZwwUubZa/,tBvzCxGHfueQYXH+BkwcZBiwmmbGJUHlhYSv+TQ,XTRiQiTLoGSXTqERDHOTXkkPfZrumKHTTqQdrWC,23,EVU,Frau,Thomas,Becker,Bahnhofstraße,25,58089,Hagen,Vorhalle,thomas.becker@example.com
HsGYzSZxUedHXiSYXpRHCD+BFTo/wymrKSHWYK+,l+wVodxgQpgJoSXJMZxNVAoJwnznrXtWUvIKIrW,fSVISQaeyaeuWVTNJwbtQXkpVfyPIQzZWugNNXE,gnlzhGrpDAp/GWjZcZWJTtYzVSGvfHYTkrzQkuE,xhSASRYljFOaYrIKHyiGTWZvbs/TpaDEpRySXUR,50,KSA,Dipl.-Ing.,Anna,Wagner,Lindenallee,,58089,Hagen,Vorhalle,
QCgCoUpBT/jSOUbIOPqOZLx/nxRoYZkNf/m/TiK,l+wVodxgQpgJoSXJMZxNVAoJwnznrXtWUvIKIrW,fSVISQaeyaeuWVTNJwbtQXkpVfyPIQzZWugNNXE,gnlzhGrpDAp/GWjZcZWJTtYzVSGvfHYTkrzQkuE,xhSASRYljFOaYrIKHyiGTWZvbs/TpaDEpRySXUR,50,KSA,Dipl.-Ing.,Anna,Wagner,Lindenallee,,58089,Hagen,Vorhalle,
TDoYZKjHASYdpsLBXaAtGpgGh/TUIMuTipLRBhZ,l+wVodxgQpgJoSXJMZxNVAoJwnznrXtWUvIKIrW,fSVISQaeyaeuWVTNJwbtQXkpVfyPIQzZWugNNXE,gnlzhGrpDAp/GWjZcZWJTtYzVSGvfHYTkrzQkuE,xhSASRYljFOaYrIKHyiGTWZvbs/TpaDEpRySXUR,50,KSA,Dipl.-Ing.,Anna,Wagner,Lindenallee,,58089,Hagen,Vorhalle,
lOx/sXyzs/DDkCwcZ/zJSVBxSEoSQCWWeQTwOcU,l+wVodxgQpgJoSXJMZxNVAoJwnznrXtWUvIKIrW,fSVISQaeyaeuWVTNJwbtQXkpVfyPIQzZWugNNXE,gnlzhGrpDAp/GWjZcZWJTtYzVSGvfHYTkrzQkuE,xhSASRYljFOaYrIKHyiGTWZvbs/TpaDEpRySXUR,50,KSA,Dipl.-Ing.,Anna,Wagner,Lindenallee,,58089,Hagen,Vorhalle,
DRjVxLHhTlVKUXlSRSVxLrfVtcFhEVScAQgRyCC,iYcrWOYOXSxwtXSZlBUYKXIZITILOQUpBnJUJwI,xGiDo+jcRAeZIXXJYauIblZIgHUczrnSCLdWKYi,LymmQleWSZtdYB//xAWnpoo/lYNNviC+BeMdShh,mKVUgyaKERGletaPBgTSe/QARgyjZJWMNfRvYqS,27,KSA,Frau,Thomas,Schneider,Lindenallee,,58099,Hagen,Boele,
QqPPKGLYmuISlflwKTvln+lVnVYKQ/v/NluYOlW,iYcrWOYOXSxwtXSZlBUYKXIZITILOQUpBnJUJwI,xGiDo+jcRAeZIXXJYauIblZIgHUczrnSCLdWKYi,LymmQleWSZtdYB//xAWnpoo/lYNNviC+BeMdShh,mKVUgyaKERGletaPBgTSe/QARgyjZJWMNfRvYqS,27,KSA,Frau,Thomas,Schneider,Lindenallee,,58099,Hagen,Boele,
VawYOYcfYdRPLEBOgPHZtQVWg/ZWGZscnXLjfNl,iYcrWOYOXSxwtXSZlBUYKXIZITILOQUpBnJUJwI,xGiDo+jcRAeZIXXJYauIblZIgHUczrnSCLdWKYi,LymmQleWSZtdYB//xAWnpoo/lYNNviC+BeMdShh,mKVUgyaKERGletaPBgTSe/QARgyjZJWMNfRvYqS,27,KSA,Frau,Thomas,Schneider,Lindenallee,,58099,Hagen,Boele,
XRVtjyEYuErtcsgIxauBobcWoSIwXaNaARbKRUj,iYcrWOYOXSxwtXSZlBUYKXIZITILOQUpBnJUJwI,xGiDo+jcRAeZIXXJYauIblZIgHUczrnSCLdWKYi,LymmQleWSZtdYB//xAWnpoo/lYNNviC+BeMdShh,mKVUgyaKERGletaPBgTSe/QARgyjZJWMNfRvYqS,27,KSA,Frau,Thomas,Schneider,Lindenallee,,58099,Hagen,Boele,
B+UTjMRixSvZHGUkYFTLJXtnAZRtgddSZUDEbGz,cpPTsXsUaRrVvSDVXyDVVYWdJRVQtEYrxgtztWn,OM+drkTveWtKivJPZlhiXuNbCCDQKURGZdmQfnJ,UTOuNdWxaMFtrISxKSoSpUiayEQphs/vQxSYRU+,YGDnnqYHym+IsPJUfzNuBaQjfSoeUMZXRGglVqX,9,EVU,Prof.,Maria,Müller,Bergstraße,,58762,Altena,Altena,
UxaAeUvrczPfzMPYAL/EUkeWgwPFI+xSSuTYqSZ,cpPTsXsUaRrVvSDVXyDVVYWdJRVQtEYrxgtztWn,OM+drkTveWtKivJPZlhiXuNbCCDQKURGZdmQfnJ,UTOuNdWxaMFtrISxKSoSpUiayEQphs/vQxSYRU+,YGDnnqYHym+IsPJUfzNuBaQjfSoeUMZXRGglVqX,9,EVU,Prof.,Maria,Müller,Bergstraße,,58762,Altena,Altena,
ZhiYDeKmMxSGGECIQZvyCTrkbrSTYxPjlAViXyV,cpPTsXsUaRrVvSDVXyDVVYWdJRVQtEYrxgtztWn,OM+drkTveWtKivJPZlhiXuNbCCDQKURGZdmQfnJ,UTOuNdWxaMFtrISxKSoSpUiayEQphs/vQxSYRU+,YGDnnqYHym+IsPJUfzNuBaQjfSoeUMZXRGglVqX,9,EVU,Prof.,Maria,Müller,Bergstraße,,58762,Altena,Altena,
uomGcBbFDQsTVvULDWloVzBWUWuaTdxQNSZeQji,cpPTsXsUaRrVvSDVXyDVVYWdJRVQtEYrxgtztWn,OM+drkTveWtKivJPZlhiXuNbCCDQKURGZdmQfnJ,UTOuNdWxaMFtrISxKSoSpUiayEQphs/vQxSYRU+,YGDnnqYHym+IsPJUfzNuBaQjfSoeUMZXRGglVqX,9,EVU,Prof.,Maria,Müller,Bergstraße,,58762,Altena,Altena,
/HKTLPcYvvVovvVYNEfteJcKVpEbrBfjtcuiCXw,SEjkWt/faPRbplsSuVUJ+zBtXWCuTiqUTfHrQOG,YfetJXhXGCIgBaHzWBupfYpvZoUNEtqzyExtiFe,UxXQyYvgKIGOdhNYWaYOXpcAtrUZokpTVRavFmD,XSLqUnXSRvRrWPSUGyBtKbALHfvUdVXgqirQPEV,6,EVU,Frau,Hans,Schmidt,Hauptstraße,,58809,Neuenrade,Neuenrade,
KrzS+XOiiTyrsQBYXyUTTwU/XRUqoQEXgucd+pI,SEjkWt/faPRbplsSuVUJ+zBtXWCuTiqUTfHrQOG,YfetJXhXGCIgBaHzWBupfYpvZoUNEtqzyExtiFe,UxXQyYvgKIGOdhNYWaYOXpcAtrUZokpTVRavFmD,XSLqUnXSRvRrWPSUGyBtKbALHfvUdVXgqirQPEV,6,EVU,Frau,Hans,Schmidt,Hauptstraße,,58809,Neuenrade,Neuenrade,
SSNNQpISZOuXU+BDBDYneMrUXCQdhDTJWwZYyrd,SEjkWt/faPRbplsSuVUJ+zBtXWCuTiqUTfHrQOG,YfetJXhXGCIgBaHzWBupfYpvZoUNEtqzyExtiFe,UxXQyYvgKIGOdhNYWaYOXpcAtrUZokpTVRavFmD,XSLqUnXSRvRrWPSUGyBtKbALHfvUdVXgqirQPEV,6,EVU,Frau,Hans,Schmidt,Hauptstraße,,58809,Neuenrade,Neuenrade,
iysFTAuMWFkStuzOKzXhpQtiWxaGbgltoBTR+er,SEjkWt/faPRbplsSuVUJ+zBtXWCuTiqUTfHrQOG,YfetJXhXGCIgBaHzWBupfYpvZoUNEtqzyExtiFe,UxXQyYvgKIGOdhNYWaYOXpcAtrUZokpTVRavFmD,XSLqUnXSRvRrWPSUGyBtKbALHfvUdVXgqirQPEV,6,EVU,Frau,Hans,Schmidt,Hauptstraße,,58809,Neuenrade,Neuenrade,
GnQ/TqcVbJTUCqDMjSddZtsex+YAoAhRjNXWIf+,RYNfDRsZd+zECVddBFZoYUxcYvDYUcyZLMohpLg,HyqNMoUsbEYyfcSsKZi+UtXIIaUXgIDOtynRVpv,NiipvfbaEZtFGYvkXILytKncnkQCvYLJyJq+MuT,ptfTBwkJx+LVY+HVtSzuxELfXqdLVVhIYYRlmQA,58,KSA,Herr,Anna,Müller,Bergstraße,,58762,Altena,Altena,
VQUgBwcMALhrObJoVKCjjgHGITxYeNWasZaoSJt,RYNfDRsZd+zECVddBFZoYUxcYvDYUcyZLMohpLg,HyqNMoUsbEYyfcSsKZi+UtXIIaUXgIDOtynRVpv,NiipvfbaEZtFGYvkXILytKncnkQCvYLJyJq+MuT,ptfTBwkJx+LVY+HVtSzuxELfXqdLVVhIYYRlmQA,58,KSA,Herr,Anna,Müller,Bergstraße,,58762,Altena,Altena,
'+tBWdNnoYVuaEPAcfCQfQ+JLLVQZpC+UPsCMnWQ,gZgD+EALJkScaaxQA/GOZVDTmTKXPiGXPBw/HQX,guVsz/QA/jkZu/Y+rYlTYbOuv+UuZOScxkvxJKw,kuZTYwNSRYNMixqYtYqG+kaClYWUSMXsXLuPxoe,resWzURTZDZSVmTkMYSYbySDYXdbqkbmqzkXosW,1,EVU,Frau,Thomas,Schulz,Dorfstraße,,58089,Hagen,Vorhalle,
USSWqwf+TTMjw/QSRwFWQQRmPTIsRNQQTTChWbL,gZgD+EALJkScaaxQA/GOZVDTmTKXPiGXPBw/HQX,guVsz/QA/jkZu/Y+rYlTYbOuv+UuZOScxkvxJKw,kuZTYwNSRYNMixqYtYqG+kaClYWUSMXsXLuPxoe,resWzURTZDZSVmTkMYSYbySDYXdbqkbmqzkXosW,1,EVU,Frau,Thomas,Schulz,Dorfstraße,,58089,Hagen,Vorhalle,
oBYguETEPLhsPI/RWvTgrWgHPkLfYKpyEivnbKy,gZgD+EALJkScaaxQA/GOZVDTmTKXPiGXPBw/HQX,guVsz/QA/jkZu/Y+rYlTYbOuv+UuZOScxkvxJKw,kuZTYwNSRYNMixqYtYqG+kaClYWUSMXsXLuPxoe,resWzURTZDZSVmTkMYSYbySDYXdbqkbmqzkXosW,1,EVU,Frau,Thomas,Schulz,Dorfstraße,,58089,Hagen,Vorhalle,
uRVGRER+QZZSQqW+JmkAMTQRWmXQfERXztrUFQe,gZgD+EALJkScaaxQA/GOZVDTmTKXPiGXPBw/HQX,guVsz/QA/jkZu/Y+rYlTYbOuv+UuZOScxkvxJKw,kuZTYwNSRYNMixqYtYqG+kaClYWUSMXsXLuPxoe,resWzURTZDZSVmTkMYSYbySDYXdbqkbmqzkXosW,1,EVU,Frau,Thomas,Schulz,Dorfstraße,,58089,Hagen,Vorhalle,
/gqLkRlfSRmDfoagSAkFWGgKLWbPUlpJkhBcWXb,wSQNaLHbHdOEFEfVlyWRpUGUSRVSMGsseMxaHZg,vyokoBT/zXsJXbSVF+sZVOSRTXGXBPHtupCQWkf,vSZBjLH/XJf+PqvWhqKFWHSYQYoGS/eGTNOupSn,ddws/MFV+PqrBifuFAHlGCQGEwsNZThchFtXDGQ,17,EVU,Herr,Maria,Wagner,Gartenstraße,,58513,Lüdenscheid,,
